"location","date","daily_average"
"Afghanistan",2019-12-01,0.000373715315200173
"Albania",2019-12-01,0.00124760206508127
"Algeria",2019-12-01,0.000764266867882235
"Angola",2019-12-01,0.000220222901952881
"Antigua-Barbuda",2019-12-01,0.000848325163047285
"Argentina",2019-12-01,0.00134161463204219
"Armenia",2019-12-01,4.52243459367523e-05
"Aruba",2019-12-01,2.06458970580826e-05
"Australia",2019-12-01,0.0140050459555548
"Austria",2019-12-01,0.0145623622838786
"Azerbaijan",2019-12-01,0.000399154009789596
"Bahamas",2019-12-01,0.000254264053649838
"Bahrain",2019-12-01,0.000891091664096171
"Bangladesh",2019-12-01,0.00138671608573455
"Barbados",2019-12-01,0.00527785321996114
"Belarus",2019-12-01,0.000216781919109867
"Belgium",2019-12-01,0.00561777316795314
"Belize",2019-12-01,4.36267467596387e-05
"Benin",2019-12-01,1.42555003496284e-05
"Bermuda",2019-12-01,0.000361426090760838
"Bolivia",2019-12-01,4.09231173829851e-05
"Bonaire, Saint Eustatius and Saba",2019-12-01,1.0568733017828e-05
"Bosnia-Herzegovina",2019-12-01,7.00485793042087e-05
"Botswana",2019-12-01,9.62246273599919e-05
"Brazil",2019-12-01,0.00353462673324149
"Brunei Darussalam",2019-12-01,0.000161971978110433
"Bulgaria",2019-12-01,0.00995046213628504
"Burkina Faso",2019-12-01,2.97399231431904e-05
"Burundi",2019-12-01,8.47956486314105e-06
"Cambodia",2019-12-01,0.000314358361158186
"Cameroon",2019-12-01,0.000120311507261088
"Canada",2019-12-01,0.00901107382014229
"Cape Verde",2019-12-01,0.0020730692706714
"Cayman Islands",2019-12-01,0.000164306930753907
"Central African Rep",2019-12-01,3.31809059862041e-06
"Chad",2019-12-01,1.3395254638875e-05
"Chile",2019-12-01,0.000653049386706254
"China",2019-12-01,0.0107791245402294
"Colombia",2019-12-01,0.000653663847928221
"Comoros",2019-12-01,1.35181468832683e-06
"Congo (Brazzaville)",2019-12-01,5.51786177326135e-05
"Congo (Kinshasa)",2019-12-01,0.000122892244393349
"Cook Islands",2019-12-01,3.44098284301376e-06
"Costa Rica",2019-12-01,0.000792654976337098
"Cote D'Ivoire",2019-12-01,0.000116256063196108
"Croatia",2019-12-01,0.00100673326607031
"Cuba",2019-12-01,0.000456298903432503
"Curacao",2019-12-01,8.43040796538371e-05
"Cyprus",2019-12-01,0.0073774672154215
"Czech Republic",2019-12-01,0.0125975610805178
"Denmark",2019-12-01,0.0158878780319053
"Djibouti",2019-12-01,4.90340055129461e-05
"Dominica",2019-12-01,4.85424365353727e-05
"Dominican Rep",2019-12-01,0.00141854517703242
"Ecuador",2019-12-01,0.000167256344619347
"Egypt",2019-12-01,0.00398330631752161
"El Salvador",2019-12-01,4.28893932932787e-05
"Equatorial Guinea",2019-12-01,6.03400919971342e-05
"Eritrea",2019-12-01,3.03543843651571e-05
"Estonia",2019-12-01,0.0013135952003205
"Ethiopia",2019-12-01,0.000393132289814322
"Falkland Islands",2019-12-01,0.000134567007610717
