"location","date","daily_average"
"France",2019-12-01,NA
"Ireland",2019-12-01,NA
"Netherlands",2019-12-01,NA
"Belgium",2019-12-01,NA
"France",2019-12-02,NA
"Ireland",2019-12-02,NA
"Netherlands",2019-12-02,NA
"Belgium",2019-12-02,NA
"France",2019-12-03,NA
"Ireland",2019-12-03,NA
"Netherlands",2019-12-03,NA
"Belgium",2019-12-03,NA
"France",2019-12-04,NA
"Ireland",2019-12-04,NA
"Netherlands",2019-12-04,NA
"Belgium",2019-12-04,NA
"France",2019-12-05,NA
"Ireland",2019-12-05,NA
"Netherlands",2019-12-05,NA
"Belgium",2019-12-05,NA
"France",2019-12-06,NA
"Ireland",2019-12-06,NA
"Netherlands",2019-12-06,NA
"Belgium",2019-12-06,NA
"France",2019-12-07,NA
"Ireland",2019-12-07,NA
"Netherlands",2019-12-07,NA
"Belgium",2019-12-07,NA
"France",2019-12-08,NA
"Ireland",2019-12-08,NA
"Netherlands",2019-12-08,NA
"Belgium",2019-12-08,NA
"France",2019-12-09,NA
"Ireland",2019-12-09,NA
"Netherlands",2019-12-09,NA
"Belgium",2019-12-09,NA
"France",2019-12-10,NA
"Ireland",2019-12-10,NA
"Netherlands",2019-12-10,NA
"Belgium",2019-12-10,NA
"France",2019-12-11,NA
"Ireland",2019-12-11,NA
"Netherlands",2019-12-11,NA
"Belgium",2019-12-11,NA
"France",2019-12-12,NA
"Ireland",2019-12-12,NA
"Netherlands",2019-12-12,NA
"Belgium",2019-12-12,NA
"France",2019-12-13,NA
"Ireland",2019-12-13,NA
"Netherlands",2019-12-13,NA
"Belgium",2019-12-13,NA
"France",2019-12-14,NA
"Ireland",2019-12-14,NA
"Netherlands",2019-12-14,NA
"Belgium",2019-12-14,NA
"France",2019-12-15,NA
"Ireland",2019-12-15,NA
"Netherlands",2019-12-15,NA
"Belgium",2019-12-15,NA
"France",2019-12-16,NA
"Ireland",2019-12-16,NA
"Netherlands",2019-12-16,NA
