"location","population_size"
"Afghanistan",38928.341
"Africa",1340598.113
"African Group",1338826.591
"African Union",1339423.921
"African Union: Central Africa",158619.638
"African Union: Eastern Africa",392563.672
"African Union: Northern Africa",207032.899
"African Union: Southern Africa",184002.188
"African Union: Western Africa",397205.524
"African, Caribbean and Pacific (ACP) Group of States",1179679.906
"Albania",2877.8
"Algeria",43851.043
"American Samoa",55.197
"Andean Community",113170.819
"Andorra",77.265
"Angola",32866.268
"Anguilla",15.002
"Antigua and Barbuda",97.928
"Argentina",45195.777
"Armenia",2963.234
"Aruba",106.766
"Asia",4641054.786
"Asia-Pacific Economic Cooperation (APEC)",2972249.482
"Asia-Pacific Group",4621682.23
"Association of Southeast Asian Nations (ASEAN)",667301.412
"Australia",25499.881
"Australia/New Zealand",30322.114
"Austria",9006.4
"Azerbaijan",10139.175
"BRIC",3177822.028
"BRICS",3237130.718
"Bahamas",393.248
"Bahrain",1701.583
"Bangladesh",164689.383
"Barbados",287.371
"Belarus",9449.321
"Belgium",11589.616
"Belize",397.621
"Belt-Road Initiative (BRI)",3403061.795
"Belt-Road Initiative: Africa",1192659.576
"Belt-Road Initiative: Asia",1572525.725
"Belt-Road Initiative: Europe",413895.375
"Belt-Road Initiative: Latin America and the Caribbean",208569.955
"Belt-Road Initiative: Pacific",15411.164
"Benin",12123.198
"Bermuda",62.273
"Bhutan",771.612
"Black Sea Economic Cooperation (BSEC)",343357.186
"Bolivarian Alliance for the Americas (ALBA)",58690.348
"Bolivia",11673.029
"Bonaire, Sint Eustatius and Saba",26.221
"Bosnia and Herzegovina",3280.815
"Botswana",2351.625
"Brazil",212559.409
"British Virgin Islands",30.237
"Brunei",437.483
"Bulgaria",6948.445
"Burkina Faso",20903.278
"Burundi",11890.781
"Cabo Verde",555.988
"Cambodia",16718.971
"Cameroon",26545.864
"Canada",37742.157
"Caribbean",43532.374
"Caribbean Community and Common Market (CARICOM)",18849.823
"Cayman Islands",65.72
"Central African Republic",4829.764
"Central America",179670.186
"Central Asia",74338.926
"Central European Free Trade Agreement (CEFTA)",25746.658
"Central and Southern Asia",2014708.531
"Chad",16425.859
"Channel Islands",173.859
"Chile",19116.209
"China",1439323.774
"China (and dependencies)",1471286.879
"China, Hong Kong SAR",7496.988
"China, Macao SAR",649.342
"Taiwan*",23816.775
"Colombia",50882.884
"Commonwealth of Independent States (CIS)",290592.838
"Commonwealth of Nations",2565385.55
"Commonwealth: Africa",583993.867
"Commonwealth: Asia",1825653.173
"Commonwealth: Caribbean and Americas",44597.814
"Commonwealth: Europe",69534.904
"Commonwealth: Pacific",41605.792
"Comoros",869.595
"Congo (Brazzaville)",5518.092
"Cook Islands",17.564
"Costa Rica",5094.114
"Countries with Access to the Sea",7199203.331
"Countries with Access to the Sea: Africa",999209.561
"Countries with Access to the Sea: Asia",4474222.842
"Countries with Access to the Sea: Europe",679066.702
"Countries with Access to the Sea: Latin America and the Caribbean",635156.773
"Countries with Access to the Sea: Northern America",368869.644
"Countries with Access to the Sea: Oceania",42677.809
"Croatia",4105.268
"Cuba",11326.616
"Curaçao",164.1
"Cyprus",1207.361
"Czechia",10708.982
"Cote d'Ivoire",26378.275
"Dem. People's Republic of Korea",25778.815
"Congo (Kinshasa)",89561.404
"Denmark",5792.203
"Denmark (and dependencies)",5897.84
"Djibouti",988.002
"Dominica",71.991
"Dominican Republic",10847.904
"ECE: North America-2",368744.804
"ECE: UNECE-52",1301482.488
"ECLAC: Latin America",641934.032
"ECLAC: The Caribbean",12024.817
"ESCAP region: East and North-East Asia",1654272.852
"ESCAP region: North and Central Asia",237364.97
"ESCAP region: Pacific",42665.213
"ESCAP region: South and South-West Asia",2024708.672
"ESCAP region: South-East Asia",668619.854
"ESCAP: ADB Developing member countries (DMCs)",4064234.805
"ESCAP: ADB Group A (Concessional assistance only)",165457.879
"ESCAP: ADB Group B (OCR blend)",1812617.151
"ESCAP: ADB Group C (Regular OCR only)",2086159.775
"ESCAP: ASEAN",667301.412
"ESCAP: Central Asia",91430.51
"ESCAP: ECO",512630.793
"ESCAP: HDI groups",4627631.561
"ESCAP: Landlocked countries (LLDCs)",166831.944
"ESCAP: Least Developed Countries (LDCs)",314374.173
"ESCAP: Pacific island dev. econ.",12343.099
"ESCAP: SAARC",1856376.652
"ESCAP: WB High income econ.",223305.48
"ESCAP: WB Low income econ.",93843.964
"ESCAP: WB Lower middle income econ.",2414189.2
"ESCAP: WB Upper middle income econ.",1896273.735
"ESCAP: WB income groups",4627612.379
"ESCAP: high HDI",222728.251
"ESCAP: high income",222956.185
"ESCAP: income groups",4627631.561
"ESCAP: low HDI",1933858.787
"ESCAP: low income",2096735.108
"ESCAP: lower middle HDI",2069715.776
"ESCAP: lower middle income",586217.954
"ESCAP: other Asia-Pacific countries/areas",200828.133
"ESCAP: upper middle HDI",401328.747
"ESCAP: upper middle income",1721722.314
"ESCWA: Arab countries",436378.875
"ESCWA: Arab least developed countries",96075.713
"ESCWA: Gulf Cooperation Council countries",58664.095
"ESCWA: Maghreb countries",99451.506
"ESCWA: Mashreq countries",182187.561
"ESCWA: member countries",374777.016
"East African Community (EAC)",195283.232
"Eastern Africa",445405.578
"Eastern Asia",1678089.627
"Eastern Europe",293013.21
"Eastern European Group",339831.453
"Eastern and South-Eastern Asia",2346709.481
"Economic Community of Central African States (ECCAS)",204438.115
"Economic Community of West African States (ECOWAS)",397205.524
"Economic Cooperation Organization (ECO)",512630.793
"Ecuador",17643.06
"Egypt",102334.403
"El Salvador",6486.201
"Equatorial Guinea",1402.985
"Eritrea",3546.427
"Estonia",1326.539
"Eswatini",1160.164
"Ethiopia",114963.583
"Eurasian Economic Community (Eurasec)",223691.52
"Europe",747636.045
"Europe",747636.045
"Europe (48)",747636.045
"Europe and Northern America",1116505.689
"European Community (EC: 12)",384860.299
"European Free Trade Agreement (EFTA)",14455.247
"European Union (EU: 15)",409506.687
"European Union (EU: 28)",513136.526
"Falkland Islands (Malvinas)",3.483
"Faroe Islands",48.865
"Fiji",896.444
"Finland",5540.718
"France",65273.512
"France (and dependencies)",68147.687
"French Guiana",298.682
"French Polynesia",280.904
"Gabon",2225.728
"Gambia",2416.664
"Georgia",3989.175
"Germany",83783.945
"Ghana",31072.945
"Gibraltar",33.691
"Greater Arab Free Trade Area (GAFTA)",413978.399
"Greece",10423.056
"Greenland",56.772
"Grenada",112.519
"Group of 77 (G77)",6135279.467
"Group of Eight (G8)",918561.011
"Group of Seven (G7)",772626.551
"Group of Twenty (G20) - member states",4653331.418
"Guadeloupe",400.127
"Guam",168.783
"Guatemala",17915.567
"Guinea",13132.792
"Guinea-Bissau",1967.998
"Gulf Cooperation Council (GCC)",58664.095
"Guyana",786.559
"Haiti",11402.533
"High-income countries",1263092.934
"Holy See",0.809
"Honduras",9904.608
"Hungary",9660.35
"Iceland",341.25
"India",1380004.385
"Indonesia",273523.621
"Iran",83992.953
"Iraq",40222.503
"Ireland",4937.796
"Isle of Man",85.032
"Israel",8655.541
"Italy",60461.828
"Jamaica",2961.161
"Japan",126476.458
"Jordan",10203.14
"Kazakhstan",18776.707
"Kenya",53771.3
"Kiribati",119.446
"Kuwait",4270.563
"Kyrgyzstan",6524.191
"LLDC: Africa",341388.552
"LLDC: Asia",166831.944
"LLDC: Europe",6117.343
"LLDC: Latin America",18805.559
"Land-locked Countries",595596.207
"Land-locked Countries (Others)",62452.809
"Land-locked Developing Countries (LLDC)",533143.398
"Laos",7275.556
"Latin America and the Caribbean",653962.332
"Latin America and the Caribbean",653962.332
"Latin American Integration Association (ALADI)",573658.551
"Latin American and Caribbean Group (GRULAC)",649376.323
"Latvia",1886.202
"League of Arab States (LAS, informal name: Arab League)",436378.875
"Least developed countries",1057438.163
"Least developed: Africa",701835.489
"Least developed: Asia",343074.875
"Least developed: Latin America and the Caribbean",11402.533
"Least developed: Oceania",1125.266
"Lebanon",6825.442
"Lesotho",2142.252
"Less developed regions",6521494.468
"Less developed regions, excluding China",5050207.589
"Less developed regions, excluding least developed countries",5464056.305
"Less developed: Africa",1340598.113
"Less developed: Asia",4514578.328
"Less developed: Latin America and the Caribbean",653962.332
"Less developed: Oceania",12355.695
"Liberia",5057.677
"Libya",6871.287
"Liechtenstein",38.137
"Lithuania",2722.291
"Low-income countries",775710.612
"Lower-middle-income countries",3098235.284
"Luxembourg",625.976
"Madagascar",27691.019
"Malawi",19129.955
"Malaysia",32365.998
"Maldives",540.542
"Mali",20250.834
"Malta",441.539
"Marshall Islands",59.194
"Martinique",375.265
"Mauritania",4649.66
"Mauritius",1271.767
"Mayotte",272.813
"Melanesia",11122.99
"Mexico",128932.753
"Micronesia",548.927
"Micronesia (Fed. States of)",115.021
"Middle Africa",179595.125
"Middle-income countries",5753051.615
"Monaco",39.244
"Mongolia",3278.292
"Montenegro",628.062
"Montserrat",4.999
"More developed regions",1273304.261
"More developed: Asia",126476.458
"More developed: Europe",747636.045
