"location","date","daily_average","total_air_travels","non_air_num","estimate"
"Afghanistan",2020-01-01,0.000343259165905733,238100,0,81.730007402155
"Albania",2020-01-01,0.00160581390010339,238100,0,382.344289614617
"Algeria",2020-01-01,0.000930437731283784,238100,0,221.537223818669
"Angola",2020-01-01,0.000280836204565817,238100,0,66.867100307121
"Antigua-Barbuda",2020-01-01,0.00104951120807627,238100,0,249.88861864296
"Argentina",2020-01-01,0.00146163699584733,238100,0,348.015768711249
"Armenia",2020-01-01,5.58450578868928e-05,238100,0,13.2967082828692
"Aruba",2020-01-01,2.17473542732611e-05,238100,0,5.17804505246347
"Australia",2020-01-01,0.0139753599791225,238100,0,3327.53321102907
"Austria",2020-01-01,0.0148808285258704,238100,0,3543.12527200974
"Azerbaijan",2020-01-01,0.000384203258827614,238100,0,91.4787959268549
"Bahamas",2020-01-01,0.000290098966571095,238100,0,69.0725639405777
"Bahrain",2020-01-01,0.000722629679339289,238100,0,172.058126650685
"Bangladesh",2020-01-01,0.00231730141645083,238100,0,551.749467256943
"Barbados",2020-01-01,0.00578318532155611,238100,0,1376.97642506251
"Belarus",2020-01-01,0.000240160597499162,238100,0,57.1822382645505
"Belgium",2020-01-01,0.00514902173151361,238100,3854.3225806452,5080.30465491859
"Belize",2020-01-01,5.2354741768962e-05,238100,0,12.4656640151899
"Benin",2020-01-01,3.06073874957009e-05,238100,0,7.28761896272638
"Bermuda",2020-01-01,0.000395076935964244,238100,0,94.0678184530865
"Bolivia",2020-01-01,6.80611642996506e-05,238100,0,16.2053632197468
"Bonaire, Saint Eustatius and Saba",2020-01-01,6.57790345302343e-06,238100,0,1.56619881216488
"Bosnia-Herzegovina",2020-01-01,4.83274539405803e-05,238100,0,11.5067667832522
"Botswana",2020-01-01,0.000103635540117022,238100,0,24.6756221018629
"Brazil",2020-01-01,0.00426167597999351,238100,0,1014.70505083645
"Brunei Darussalam",2020-01-01,6.63160062406852e-05,238100,0,15.7898410859071
"Bulgaria",2020-01-01,0.0113054023918331,238100,0,2691.81630949546
"Burkina Faso",2020-01-01,2.38952411150647e-05,238100,0,5.68945690949691
"Burundi",2020-01-01,6.30941759779799e-06,238100,0,1.5022723300357
"Cambodia",2020-01-01,0.000395211178891857,238100,0,94.0997816941512
"Cameroon",2020-01-01,0.000138001729585879,238100,0,32.8582118143978
"Canada",2020-01-01,0.00870833871423735,238100,0,2073.45544785991
"Cape Verde",2020-01-01,0.00226293303076767,238100,0,538.804354625782
"Cayman Islands",2020-01-01,0.000183912810829431,238100,0,43.7896402584875
"Central African Rep",2020-01-01,1.20818634851451e-06,238100,0,0.287669169581305
"Chad",2020-01-01,1.87940098657812e-05,238100,0,4.4748537490425
"Chile",2020-01-01,0.000919698297074766,238100,0,218.980164533502
"China",2020-01-01,0.0191392826756012,238100,0,4557.06320506065
"Colombia",2020-01-01,0.00130645217152702,238100,0,311.066262040583
"Comoros",2020-01-01,2.95334440747991e-06,238100,0,0.703191303420966
"Congo (Brazzaville)",2020-01-01,3.90646919353024e-05,238100,0,9.3013031497955
"Congo (Kinshasa)",2020-01-01,9.82658230125133e-05,238100,0,23.3970924592794
"Cook Islands",2020-01-01,4.29577368360714e-06,238100,0,1.02282371406686
"Costa Rica",2020-01-01,0.000926410443455402,238100,0,220.578326586731
"Cote D'Ivoire",2020-01-01,0.00018485251132272,238100,0,44.0133829459396
"Croatia",2020-01-01,0.00103675812995306,238100,0,246.852110741824
"Cuba",2020-01-01,0.000520191344499302,238100,0,123.857559125284
"Curacao",2020-01-01,4.88644256510312e-05,238100,0,11.6346197475105
"Cyprus",2020-01-01,0.00614362758219627,238100,0,1462.79772732093
"Czech Republic",2020-01-01,0.0104882656914544,238100,0,2497.25606113529
"Denmark",2020-01-01,0.0136143807467719,238100,0,3241.58405580639
"Djibouti",2020-01-01,5.26232276241875e-05,238100,0,12.529590497319
"Dominica",2020-01-01,5.77244588734709e-05,238100,0,13.7441936577734
"Dominican Rep",2020-01-01,0.00183751719316295,238100,0,437.512843692098
"Ecuador",2020-01-01,0.000284058034828522,238100,0,67.6342180926711
"Egypt",2020-01-01,0.00449942020479564,238100,0,1071.31195076184
"El Salvador",2020-01-01,5.61135437421183e-05,238100,0,13.3606347649984
"Equatorial Guinea",2020-01-01,5.2354741768962e-05,238100,0,12.4656640151899
"Eritrea",2020-01-01,4.59110812435513e-05,238100,0,10.9314284440896
"Estonia",2020-01-01,0.00133061589849731,238100,0,316.81964543221
"Ethiopia",2020-01-01,0.000487838798944636,238100,0,116.154418028718
"Falkland Islands",2020-01-01,0.00014296871790755,238100,0,34.0408517337877
