"date","num_infs","location"
2019-12-31,0,"Afghanistan"
2020-01-01,0,"Afghanistan"
2020-01-02,0,"Afghanistan"
2020-01-03,0,"Afghanistan"
2020-01-04,0,"Afghanistan"
2020-01-05,0,"Afghanistan"
2020-01-06,0,"Afghanistan"
2020-01-07,0,"Afghanistan"
2020-01-08,0,"Afghanistan"
2020-01-09,0,"Afghanistan"
2020-01-10,0,"Afghanistan"
2020-01-11,0,"Afghanistan"
2020-01-12,0,"Afghanistan"
2020-01-13,0,"Afghanistan"
2020-01-14,0,"Afghanistan"
2020-01-15,0,"Afghanistan"
2020-01-16,0,"Afghanistan"
2020-01-17,0,"Afghanistan"
2020-01-18,0,"Afghanistan"
2020-01-19,0,"Afghanistan"
2020-01-20,0,"Afghanistan"
2020-01-21,0,"Afghanistan"
2020-01-22,0,"Afghanistan"
2020-01-23,0,"Afghanistan"
2020-01-24,0,"Afghanistan"
2020-01-25,0,"Afghanistan"
2020-01-26,0,"Afghanistan"
2020-01-27,0,"Afghanistan"
2020-01-28,0,"Afghanistan"
2020-01-29,0,"Afghanistan"
2020-01-30,0,"Afghanistan"
2020-01-31,0,"Afghanistan"
2020-02-01,0,"Afghanistan"
2020-02-02,0,"Afghanistan"
2020-02-03,0,"Afghanistan"
2020-02-04,0,"Afghanistan"
2020-02-05,0,"Afghanistan"
2020-02-06,0,"Afghanistan"
2020-02-07,0,"Afghanistan"
2020-02-08,0,"Afghanistan"
2020-02-09,0,"Afghanistan"
2020-02-10,0,"Afghanistan"
2020-02-11,0,"Afghanistan"
2020-02-12,0,"Afghanistan"
2020-02-13,0,"Afghanistan"
2020-02-14,0,"Afghanistan"
2020-02-15,0,"Afghanistan"
2020-02-16,0,"Afghanistan"
2020-02-17,0,"Afghanistan"
2020-02-18,0,"Afghanistan"
2020-02-19,0,"Afghanistan"
2020-02-20,0,"Afghanistan"
2020-02-21,0,"Afghanistan"
2020-02-22,0,"Afghanistan"
2020-02-23,0,"Afghanistan"
2020-02-24,0,"Afghanistan"
2020-02-25,0,"Afghanistan"
2020-02-26,0,"Afghanistan"
2020-02-27,0,"Afghanistan"
2020-02-28,100,"Afghanistan"
2020-02-29,0,"Afghanistan"
2020-03-01,0,"Afghanistan"
2020-03-02,100,"Afghanistan"
2020-03-03,200,"Afghanistan"
2020-03-04,0,"Afghanistan"
2020-03-05,0,"Afghanistan"
2020-03-06,0,"Afghanistan"
2020-03-07,0,"Afghanistan"
2020-03-08,0,"Afghanistan"
2020-03-09,0,"Afghanistan"
2020-03-10,200,"Afghanistan"
2020-03-11,0,"Afghanistan"
2020-03-12,100,"Afghanistan"
2020-03-13,0,"Afghanistan"
2020-03-14,400,"Afghanistan"
2020-03-15,300,"Afghanistan"
2020-03-16,0,"Afghanistan"
2020-03-17,100,"Afghanistan"
2020-03-18,0,"Afghanistan"
2020-03-19,300,"Afghanistan"
2020-03-20,0,"Afghanistan"
2020-03-21,300,"Afghanistan"
2020-03-22,200,"Afghanistan"
2020-03-23,200,"Afghanistan"
2020-03-24,500,"Afghanistan"
2020-03-25,0,"Afghanistan"
2020-03-26,0,"Afghanistan"
2020-03-27,300,"Afghanistan"
2020-03-28,300,"Afghanistan"
2020-03-29,0,"Afghanistan"
2020-03-30,400,"Afghanistan"
2020-03-31,200,"Afghanistan"
2020-04-01,100,"Afghanistan"
2020-04-02,400,"Afghanistan"
2020-04-03,300,"Afghanistan"
2020-04-04,700,"Afghanistan"
2020-04-05,100,"Afghanistan"
2020-04-06,200,"Afghanistan"
2020-04-07,400,"Afghanistan"
2020-04-08,400,"Afghanistan"
2020-04-09,400,"Afghanistan"
2020-04-10,1300,"Afghanistan"
2020-04-11,500,"Afghanistan"
2020-04-12,500,"Afghanistan"
2020-04-13,900,"Afghanistan"
2020-04-14,200,"Afghanistan"
2020-04-15,300,"Afghanistan"
2020-04-16,600,"Afghanistan"
2020-04-17,500,"Afghanistan"
2020-04-18,200,"Afghanistan"
2020-04-19,500,"Afghanistan"
2020-04-20,500,"Afghanistan"
2020-04-21,400,"Afghanistan"
2020-04-22,1700,"Afghanistan"
2020-04-23,1500,"Afghanistan"
2020-04-24,100,"Afghanistan"
2020-04-25,400,"Afghanistan"
2020-04-26,500,"Afghanistan"
2020-04-27,900,"Afghanistan"
2020-04-28,600,"Afghanistan"
2020-04-29,1200,"Afghanistan"
2020-04-30,1100,"Afghanistan"
2020-05-01,200,"Afghanistan"
2020-05-02,100,"Afghanistan"
2020-05-03,100,"Afghanistan"
2020-05-04,700,"Afghanistan"
2020-05-05,800,"Afghanistan"
2020-05-06,1100,"Afghanistan"
2020-05-07,300,"Afghanistan"
2020-05-08,800,"Afghanistan"
2020-05-09,800,"Afghanistan"
2020-05-10,500,"Afghanistan"
2020-05-11,2400,"Afghanistan"
2020-05-12,600,"Afghanistan"
2020-05-13,900,"Afghanistan"
2020-05-14,1800,"Afghanistan"
2020-05-15,3000,"Afghanistan"
2020-05-16,1200,"Afghanistan"
2020-05-17,1500,"Afghanistan"
2020-05-18,2100,"Afghanistan"
2020-05-19,2100,"Afghanistan"
2020-05-20,2000,"Afghanistan"
2020-05-21,500,"Afghanistan"
2020-05-22,2000,"Afghanistan"
2020-05-23,700,"Afghanistan"
2020-05-24,1300,"Afghanistan"
2020-05-25,1300,"Afghanistan"
2020-05-26,4200,"Afghanistan"
2020-05-27,200,"Afghanistan"
2020-05-28,2100,"Afghanistan"
2020-05-29,1200,"Afghanistan"
2020-05-30,1700,"Afghanistan"
2020-05-31,2000,"Afghanistan"
2020-06-01,2100,"Afghanistan"
2020-06-02,3600,"Afghanistan"
2020-06-03,800,"Afghanistan"
2020-06-04,2000,"Afghanistan"
2020-06-05,1800,"Afghanistan"
2020-06-06,1200,"Afghanistan"
2020-06-07,1300,"Afghanistan"
2020-06-08,2800,"Afghanistan"
2020-06-09,3300,"Afghanistan"
2020-06-10,1200,"Afghanistan"
2020-06-11,700,"Afghanistan"
2020-06-12,3800,"Afghanistan"
2020-06-13,3400,"Afghanistan"
2020-06-14,2200,"Afghanistan"
2020-06-15,1600,"Afghanistan"
2020-06-16,2100,"Afghanistan"
2020-06-17,1400,"Afghanistan"
2020-06-18,2300,"Afghanistan"
2020-06-19,1600,"Afghanistan"
2020-06-20,200,"Afghanistan"
2020-06-21,3600,"Afghanistan"
2020-06-22,4600,"Afghanistan"
2020-06-23,1900,"Afghanistan"
2020-06-24,3400,"Afghanistan"
2020-06-25,1700,"Afghanistan"
2020-06-26,1700,"Afghanistan"
2020-06-27,400,"Afghanistan"
2020-06-28,100,"Afghanistan"
2020-06-29,400,"Afghanistan"
2020-06-30,2100,"Afghanistan"
2020-07-01,1400,"Afghanistan"
2020-07-02,2300,"Afghanistan"
2020-07-03,1100,"Afghanistan"
2020-07-04,1000,"Afghanistan"
2020-07-05,100,"Afghanistan"
2020-07-06,100,"Afghanistan"
2020-07-07,0,"Afghanistan"
2020-07-08,100,"Afghanistan"
2020-07-09,1100,"Afghanistan"
2020-07-10,100,"Afghanistan"
2020-07-11,400,"Afghanistan"
2020-07-12,0,"Afghanistan"
2020-07-13,600,"Afghanistan"
2020-07-14,400,"Afghanistan"
2020-07-15,900,"Afghanistan"
2020-07-16,500,"Afghanistan"
2020-07-17,0,"Afghanistan"
2020-07-18,1600,"Afghanistan"
2020-07-19,1600,"Afghanistan"
2020-07-20,1000,"Afghanistan"
2020-07-21,900,"Afghanistan"
2020-07-22,0,"Afghanistan"
2020-07-23,700,"Afghanistan"
2020-07-24,500,"Afghanistan"
2020-07-25,0,"Afghanistan"
2020-07-26,0,"Afghanistan"
2020-07-27,NA,"Afghanistan"
2020-07-28,NA,"Afghanistan"
2020-07-29,NA,"Afghanistan"
2020-07-30,NA,"Afghanistan"
2020-07-31,NA,"Afghanistan"
2020-08-01,NA,"Afghanistan"
2020-08-02,NA,"Afghanistan"
2020-08-03,NA,"Afghanistan"
2020-08-04,NA,"Afghanistan"
2020-08-05,NA,"Afghanistan"
2020-08-06,NA,"Afghanistan"
2020-08-07,NA,"Afghanistan"
2020-08-08,NA,"Afghanistan"
2020-08-09,NA,"Afghanistan"
2020-08-10,NA,"Afghanistan"
2020-08-11,NA,"Afghanistan"
2020-08-12,NA,"Afghanistan"
2020-08-13,NA,"Afghanistan"
2020-08-14,NA,"Afghanistan"
2020-08-15,NA,"Afghanistan"
2020-08-16,NA,"Afghanistan"
2020-08-17,NA,"Afghanistan"
2020-08-18,NA,"Afghanistan"
2019-12-31,0,"Albania"
2020-01-01,0,"Albania"
2020-01-02,0,"Albania"
2020-01-03,0,"Albania"
2020-01-04,0,"Albania"
2020-01-05,0,"Albania"
2020-01-06,0,"Albania"
2020-01-07,0,"Albania"
2020-01-08,0,"Albania"
2020-01-09,0,"Albania"
2020-01-10,0,"Albania"
2020-01-11,0,"Albania"
2020-01-12,0,"Albania"
2020-01-13,0,"Albania"
2020-01-14,0,"Albania"
2020-01-15,0,"Albania"
2020-01-16,0,"Albania"
2020-01-17,0,"Albania"
2020-01-18,0,"Albania"
2020-01-19,0,"Albania"
2020-01-20,0,"Albania"
2020-01-21,0,"Albania"
2020-01-22,0,"Albania"
2020-01-23,0,"Albania"
2020-01-24,0,"Albania"
2020-01-25,0,"Albania"
2020-01-26,0,"Albania"
2020-01-27,0,"Albania"
2020-01-28,0,"Albania"
2020-01-29,0,"Albania"
2020-01-30,0,"Albania"
2020-01-31,0,"Albania"
2020-02-01,0,"Albania"
2020-02-02,0,"Albania"
2020-02-03,0,"Albania"
2020-02-04,0,"Albania"
2020-02-05,0,"Albania"
2020-02-06,0,"Albania"
2020-02-07,0,"Albania"
2020-02-08,0,"Albania"
2020-02-09,0,"Albania"
2020-02-10,0,"Albania"
2020-02-11,0,"Albania"
2020-02-12,0,"Albania"
2020-02-13,0,"Albania"
2020-02-14,0,"Albania"
2020-02-15,0,"Albania"
2020-02-16,0,"Albania"
2020-02-17,100,"Albania"
2020-02-18,0,"Albania"
2020-02-19,0,"Albania"
2020-02-20,0,"Albania"
2020-02-21,0,"Albania"
2020-02-22,0,"Albania"
2020-02-23,0,"Albania"
2020-02-24,100,"Albania"
2020-02-25,0,"Albania"
2020-02-26,0,"Albania"
2020-02-27,0,"Albania"
2020-02-28,0,"Albania"
2020-02-29,200,"Albania"
2020-03-01,100,"Albania"
2020-03-02,0,"Albania"
2020-03-03,100,"Albania"
2020-03-04,200,"Albania"
2020-03-05,200,"Albania"
2020-03-06,0,"Albania"
2020-03-07,100,"Albania"
2020-03-08,400,"Albania"
2020-03-09,0,"Albania"
2020-03-10,100,"Albania"
2020-03-11,100,"Albania"
2020-03-12,300,"Albania"
2020-03-13,0,"Albania"
2020-03-14,100,"Albania"
2020-03-15,100,"Albania"
2020-03-16,0,"Albania"
2020-03-17,100,"Albania"
2020-03-18,0,"Albania"
2020-03-19,0,"Albania"
2020-03-20,0,"Albania"
2020-03-21,0,"Albania"
2020-03-22,100,"Albania"
2020-03-23,100,"Albania"
2020-03-24,100,"Albania"
2020-03-25,0,"Albania"
2020-03-26,0,"Albania"
2020-03-27,0,"Albania"
2020-03-28,0,"Albania"
2020-03-29,0,"Albania"
2020-03-30,100,"Albania"
2020-03-31,0,"Albania"
2020-04-01,0,"Albania"
2020-04-02,0,"Albania"
2020-04-03,100,"Albania"
2020-04-04,0,"Albania"
2020-04-05,200,"Albania"
2020-04-06,0,"Albania"
2020-04-07,100,"Albania"
2020-04-08,0,"Albania"
2020-04-09,0,"Albania"
2020-04-10,0,"Albania"
2020-04-11,0,"Albania"
2020-04-12,0,"Albania"
2020-04-13,0,"Albania"
2020-04-14,0,"Albania"
2020-04-15,0,"Albania"
2020-04-16,0,"Albania"
2020-04-17,0,"Albania"
2020-04-18,0,"Albania"
2020-04-19,0,"Albania"
2020-04-20,0,"Albania"
2020-04-21,0,"Albania"
2020-04-22,0,"Albania"
2020-04-23,0,"Albania"
2020-04-24,0,"Albania"
2020-04-25,0,"Albania"
2020-04-26,0,"Albania"
2020-04-27,0,"Albania"
2020-04-28,0,"Albania"
2020-04-29,0,"Albania"
2020-04-30,0,"Albania"
2020-05-01,100,"Albania"
2020-05-02,0,"Albania"
2020-05-03,100,"Albania"
2020-05-04,0,"Albania"
2020-05-05,0,"Albania"
2020-05-06,0,"Albania"
2020-05-07,0,"Albania"
2020-05-08,0,"Albania"
2020-05-09,0,"Albania"
2020-05-10,0,"Albania"
2020-05-11,0,"Albania"
2020-05-12,0,"Albania"
2020-05-13,0,"Albania"
2020-05-14,100,"Albania"
2020-05-15,0,"Albania"
2020-05-16,0,"Albania"
2020-05-17,0,"Albania"
2020-05-18,0,"Albania"
2020-05-19,100,"Albania"
2020-05-20,100,"Albania"
2020-05-21,0,"Albania"
2020-05-22,0,"Albania"
2020-05-23,0,"Albania"
2020-05-24,100,"Albania"
2020-05-25,100,"Albania"
2020-05-26,100,"Albania"
2020-05-27,300,"Albania"
2020-05-28,100,"Albania"
2020-05-29,100,"Albania"
2020-05-30,0,"Albania"
2020-05-31,100,"Albania"
2020-06-01,200,"Albania"
2020-06-02,200,"Albania"
2020-06-03,200,"Albania"
2020-06-04,200,"Albania"
2020-06-05,200,"Albania"
2020-06-06,300,"Albania"
2020-06-07,400,"Albania"
2020-06-08,300,"Albania"
2020-06-09,400,"Albania"
2020-06-10,300,"Albania"
2020-06-11,200,"Albania"
2020-06-12,200,"Albania"
2020-06-13,300,"Albania"
2020-06-14,200,"Albania"
2020-06-15,200,"Albania"
2020-06-16,0,"Albania"
2020-06-17,200,"Albania"
2020-06-18,400,"Albania"
2020-06-19,400,"Albania"
2020-06-20,200,"Albania"
2020-06-21,200,"Albania"
2020-06-22,400,"Albania"
2020-06-23,300,"Albania"
2020-06-24,300,"Albania"
2020-06-25,400,"Albania"
2020-06-26,100,"Albania"
2020-06-27,100,"Albania"
2020-06-28,400,"Albania"
2020-06-29,300,"Albania"
2020-06-30,300,"Albania"
2020-07-01,500,"Albania"
2020-07-02,600,"Albania"
2020-07-03,400,"Albania"
2020-07-04,600,"Albania"
2020-07-05,400,"Albania"
2020-07-06,200,"Albania"
2020-07-07,400,"Albania"
2020-07-08,300,"Albania"
2020-07-09,400,"Albania"
2020-07-10,500,"Albania"
2020-07-11,600,"Albania"
2020-07-12,400,"Albania"
2020-07-13,600,"Albania"
2020-07-14,600,"Albania"
2020-07-15,100,"Albania"
2020-07-16,400,"Albania"
2020-07-17,600,"Albania"
2020-07-18,100,"Albania"
2020-07-19,500,"Albania"
2020-07-20,300,"Albania"
2020-07-21,500,"Albania"
2020-07-22,600,"Albania"
2020-07-23,600,"Albania"
2020-07-24,300,"Albania"
2020-07-25,200,"Albania"
2020-07-26,200,"Albania"
2020-07-27,NA,"Albania"
2020-07-28,NA,"Albania"
2020-07-29,NA,"Albania"
2020-07-30,NA,"Albania"
2020-07-31,NA,"Albania"
2020-08-01,NA,"Albania"
2020-08-02,NA,"Albania"
2020-08-03,NA,"Albania"
2020-08-04,NA,"Albania"
2020-08-05,NA,"Albania"
2020-08-06,NA,"Albania"
2020-08-07,NA,"Albania"
2020-08-08,NA,"Albania"
2020-08-09,NA,"Albania"
2020-08-10,NA,"Albania"
2020-08-11,NA,"Albania"
2020-08-12,NA,"Albania"
2020-08-13,NA,"Albania"
2020-08-14,NA,"Albania"
2020-08-15,NA,"Albania"
2020-08-16,NA,"Albania"
2020-08-17,NA,"Albania"
2020-08-18,NA,"Albania"
2019-12-31,0,"Algeria"
2020-01-01,0,"Algeria"
2020-01-02,0,"Algeria"
2020-01-03,0,"Algeria"
2020-01-04,0,"Algeria"
2020-01-05,0,"Algeria"
2020-01-06,0,"Algeria"
2020-01-07,0,"Algeria"
2020-01-08,0,"Algeria"
2020-01-09,0,"Algeria"
2020-01-10,0,"Algeria"
2020-01-11,0,"Algeria"
2020-01-12,0,"Algeria"
2020-01-13,0,"Algeria"
2020-01-14,0,"Algeria"
2020-01-15,0,"Algeria"
2020-01-16,0,"Algeria"
2020-01-17,0,"Algeria"
2020-01-18,0,"Algeria"
2020-01-19,0,"Algeria"
2020-01-20,0,"Algeria"
2020-01-21,0,"Algeria"
2020-01-22,0,"Algeria"
2020-01-23,0,"Algeria"
2020-01-24,0,"Algeria"
2020-01-25,0,"Algeria"
2020-01-26,0,"Algeria"
2020-01-27,0,"Algeria"
2020-01-28,0,"Algeria"
2020-01-29,0,"Algeria"
2020-01-30,0,"Algeria"
2020-01-31,0,"Algeria"
2020-02-01,0,"Algeria"
2020-02-02,0,"Algeria"
2020-02-03,0,"Algeria"
2020-02-04,0,"Algeria"
2020-02-05,0,"Algeria"
2020-02-06,0,"Algeria"
2020-02-07,0,"Algeria"
2020-02-08,0,"Algeria"
2020-02-09,0,"Algeria"
2020-02-10,0,"Algeria"
2020-02-11,0,"Algeria"
2020-02-12,0,"Algeria"
2020-02-13,0,"Algeria"
2020-02-14,0,"Algeria"
2020-02-15,0,"Algeria"
2020-02-16,0,"Algeria"
2020-02-17,0,"Algeria"
2020-02-18,100,"Algeria"
2020-02-19,100,"Algeria"
2020-02-20,100,"Algeria"
2020-02-21,100,"Algeria"
2020-02-22,0,"Algeria"
2020-02-23,0,"Algeria"
2020-02-24,300,"Algeria"
2020-02-25,200,"Algeria"
2020-02-26,200,"Algeria"
2020-02-27,400,"Algeria"
2020-02-28,200,"Algeria"
2020-02-29,0,"Algeria"
2020-03-01,200,"Algeria"
2020-03-02,200,"Algeria"
2020-03-03,400,"Algeria"
2020-03-04,100,"Algeria"
2020-03-05,300,"Algeria"
2020-03-06,200,"Algeria"
2020-03-07,400,"Algeria"
2020-03-08,900,"Algeria"
2020-03-09,1400,"Algeria"
2020-03-10,2800,"Algeria"
2020-03-11,1900,"Algeria"
2020-03-12,2500,"Algeria"
2020-03-13,2200,"Algeria"
2020-03-14,2100,"Algeria"
2020-03-15,2000,"Algeria"
2020-03-16,1200,"Algeria"
2020-03-17,3000,"Algeria"
2020-03-18,2100,"Algeria"
2020-03-19,1900,"Algeria"
2020-03-20,1800,"Algeria"
2020-03-21,2000,"Algeria"
2020-03-22,1300,"Algeria"
2020-03-23,1000,"Algeria"
2020-03-24,1200,"Algeria"
2020-03-25,1600,"Algeria"
2020-03-26,300,"Algeria"
2020-03-27,800,"Algeria"
2020-03-28,900,"Algeria"
2020-03-29,800,"Algeria"
2020-03-30,1000,"Algeria"
2020-03-31,500,"Algeria"
2020-04-01,800,"Algeria"
2020-04-02,400,"Algeria"
2020-04-03,600,"Algeria"
2020-04-04,700,"Algeria"
2020-04-05,500,"Algeria"
2020-04-06,700,"Algeria"
2020-04-07,600,"Algeria"
2020-04-08,300,"Algeria"
2020-04-09,600,"Algeria"
2020-04-10,400,"Algeria"
2020-04-11,200,"Algeria"
2020-04-12,500,"Algeria"
2020-04-13,600,"Algeria"
2020-04-14,700,"Algeria"
2020-04-15,500,"Algeria"
2020-04-16,600,"Algeria"
2020-04-17,800,"Algeria"
2020-04-18,500,"Algeria"
2020-04-19,800,"Algeria"
2020-04-20,700,"Algeria"
2020-04-21,700,"Algeria"
2020-04-22,700,"Algeria"
2020-04-23,600,"Algeria"
2020-04-24,600,"Algeria"
2020-04-25,700,"Algeria"
2020-04-26,600,"Algeria"
2020-04-27,700,"Algeria"
2020-04-28,700,"Algeria"
2020-04-29,700,"Algeria"
2020-04-30,1000,"Algeria"
2020-05-01,800,"Algeria"
2020-05-02,900,"Algeria"
2020-05-03,800,"Algeria"
2020-05-04,600,"Algeria"
2020-05-05,700,"Algeria"
2020-05-06,800,"Algeria"
2020-05-07,800,"Algeria"
2020-05-08,700,"Algeria"
2020-05-09,800,"Algeria"
2020-05-10,600,"Algeria"
2020-05-11,600,"Algeria"
2020-05-12,800,"Algeria"
2020-05-13,900,"Algeria"
2020-05-14,800,"Algeria"
2020-05-15,900,"Algeria"
2020-05-16,800,"Algeria"
2020-05-17,900,"Algeria"
2020-05-18,800,"Algeria"
2020-05-19,900,"Algeria"
2020-05-20,1000,"Algeria"
2020-05-21,900,"Algeria"
2020-05-22,700,"Algeria"
2020-05-23,1000,"Algeria"
2020-05-24,1100,"Algeria"
2020-05-25,1100,"Algeria"
2020-05-26,1200,"Algeria"
2020-05-27,1400,"Algeria"
2020-05-28,1200,"Algeria"
2020-05-29,800,"Algeria"
2020-05-30,700,"Algeria"
2020-05-31,900,"Algeria"
2020-06-01,800,"Algeria"
2020-06-02,900,"Algeria"
2020-06-03,700,"Algeria"
2020-06-04,700,"Algeria"
2020-06-05,500,"Algeria"
2020-06-06,800,"Algeria"
2020-06-07,700,"Algeria"
2020-06-08,800,"Algeria"
2020-06-09,800,"Algeria"
2020-06-10,900,"Algeria"
2020-06-11,900,"Algeria"
2020-06-12,600,"Algeria"
2020-06-13,700,"Algeria"
2020-06-14,900,"Algeria"
2020-06-15,1000,"Algeria"
2020-06-16,1000,"Algeria"
2020-06-17,800,"Algeria"
2020-06-18,800,"Algeria"
2020-06-19,700,"Algeria"
2020-06-20,700,"Algeria"
2020-06-21,1000,"Algeria"
2020-06-22,1200,"Algeria"
2020-06-23,1200,"Algeria"
2020-06-24,500,"Algeria"
2020-06-25,1100,"Algeria"
2020-06-26,1000,"Algeria"
2020-06-27,900,"Algeria"
2020-06-28,1300,"Algeria"
2020-06-29,1100,"Algeria"
2020-06-30,1300,"Algeria"
2020-07-01,1200,"Algeria"
2020-07-02,1000,"Algeria"
2020-07-03,900,"Algeria"
2020-07-04,800,"Algeria"
2020-07-05,1100,"Algeria"
2020-07-06,1200,"Algeria"
2020-07-07,1400,"Algeria"
2020-07-08,1000,"Algeria"
2020-07-09,1300,"Algeria"
2020-07-10,800,"Algeria"
2020-07-11,800,"Algeria"
2020-07-12,900,"Algeria"
2020-07-13,1300,"Algeria"
2020-07-14,1200,"Algeria"
2020-07-15,900,"Algeria"
2020-07-16,1100,"Algeria"
2020-07-17,900,"Algeria"
2020-07-18,1000,"Algeria"
2020-07-19,1000,"Algeria"
2020-07-20,1100,"Algeria"
2020-07-21,800,"Algeria"
2020-07-22,1000,"Algeria"
2020-07-23,900,"Algeria"
2020-07-24,1000,"Algeria"
2020-07-25,900,"Algeria"
2020-07-26,1200,"Algeria"
2020-07-27,NA,"Algeria"
2020-07-28,NA,"Algeria"
2020-07-29,NA,"Algeria"
2020-07-30,NA,"Algeria"
2020-07-31,NA,"Algeria"
2020-08-01,NA,"Algeria"
2020-08-02,NA,"Algeria"
2020-08-03,NA,"Algeria"
2020-08-04,NA,"Algeria"
2020-08-05,NA,"Algeria"
2020-08-06,NA,"Algeria"
2020-08-07,NA,"Algeria"
2020-08-08,NA,"Algeria"
2020-08-09,NA,"Algeria"
2020-08-10,NA,"Algeria"
2020-08-11,NA,"Algeria"
2020-08-12,NA,"Algeria"
2020-08-13,NA,"Algeria"
2020-08-14,NA,"Algeria"
2020-08-15,NA,"Algeria"
2020-08-16,NA,"Algeria"
2020-08-17,NA,"Algeria"
2020-08-18,NA,"Algeria"
2019-12-31,0,"Andorra"
2020-01-01,0,"Andorra"
2020-01-02,0,"Andorra"
2020-01-03,0,"Andorra"
2020-01-04,0,"Andorra"
2020-01-05,0,"Andorra"
2020-01-06,0,"Andorra"
2020-01-07,0,"Andorra"
2020-01-08,0,"Andorra"
2020-01-09,0,"Andorra"
2020-01-10,0,"Andorra"
2020-01-11,0,"Andorra"
2020-01-12,0,"Andorra"
2020-01-13,0,"Andorra"
2020-01-14,0,"Andorra"
2020-01-15,0,"Andorra"
2020-01-16,0,"Andorra"
2020-01-17,0,"Andorra"
2020-01-18,0,"Andorra"
2020-01-19,0,"Andorra"
2020-01-20,0,"Andorra"
2020-01-21,0,"Andorra"
2020-01-22,0,"Andorra"
2020-01-23,0,"Andorra"
2020-01-24,0,"Andorra"
2020-01-25,0,"Andorra"
2020-01-26,0,"Andorra"
2020-01-27,0,"Andorra"
2020-01-28,0,"Andorra"
2020-01-29,0,"Andorra"
2020-01-30,0,"Andorra"
2020-01-31,0,"Andorra"
2020-02-01,0,"Andorra"
2020-02-02,0,"Andorra"
2020-02-03,0,"Andorra"
2020-02-04,0,"Andorra"
2020-02-05,0,"Andorra"
2020-02-06,0,"Andorra"
2020-02-07,0,"Andorra"
2020-02-08,0,"Andorra"
2020-02-09,0,"Andorra"
2020-02-10,0,"Andorra"
2020-02-11,0,"Andorra"
2020-02-12,0,"Andorra"
2020-02-13,0,"Andorra"
2020-02-14,0,"Andorra"
2020-02-15,0,"Andorra"
2020-02-16,0,"Andorra"
