"date","seeder_proportion","location"
2019-12-31,0,"Afghanistan"
2020-01-01,0,"Afghanistan"
2020-01-02,0,"Afghanistan"
2020-01-03,0,"Afghanistan"
2020-01-04,0,"Afghanistan"
2020-01-05,0,"Afghanistan"
2020-01-06,0,"Afghanistan"
2020-01-07,0,"Afghanistan"
2020-01-08,0,"Afghanistan"
2020-01-09,0,"Afghanistan"
2020-01-10,0,"Afghanistan"
2020-01-11,0,"Afghanistan"
2020-01-12,0,"Afghanistan"
2020-01-13,0,"Afghanistan"
2020-01-14,0,"Afghanistan"
2020-01-15,0,"Afghanistan"
2020-01-16,0,"Afghanistan"
2020-01-17,0,"Afghanistan"
2020-01-18,0,"Afghanistan"
2020-01-19,0,"Afghanistan"
2020-01-20,0,"Afghanistan"
2020-01-21,0,"Afghanistan"
2020-01-22,0,"Afghanistan"
2020-01-23,0,"Afghanistan"
2020-01-24,0,"Afghanistan"
2020-01-25,0,"Afghanistan"
2020-01-26,0,"Afghanistan"
2020-01-27,0,"Afghanistan"
2020-01-28,0,"Afghanistan"
2020-01-29,0,"Afghanistan"
2020-01-30,0,"Afghanistan"
2020-01-31,0,"Afghanistan"
2020-02-01,0,"Afghanistan"
2020-02-02,0,"Afghanistan"
2020-02-03,0,"Afghanistan"
2020-02-04,0,"Afghanistan"
2020-02-05,0,"Afghanistan"
2020-02-06,0,"Afghanistan"
2020-02-07,0,"Afghanistan"
2020-02-08,0,"Afghanistan"
2020-02-09,0,"Afghanistan"
2020-02-10,0,"Afghanistan"
2020-02-11,0,"Afghanistan"
2020-02-12,0,"Afghanistan"
2020-02-13,0,"Afghanistan"
2020-02-14,0,"Afghanistan"
2020-02-15,0,"Afghanistan"
2020-02-16,0,"Afghanistan"
2020-02-17,0,"Afghanistan"
2020-02-18,0,"Afghanistan"
2020-02-19,0,"Afghanistan"
2020-02-20,0,"Afghanistan"
2020-02-21,0,"Afghanistan"
2020-02-22,0,"Afghanistan"
2020-02-23,0,"Afghanistan"
2020-02-24,0,"Afghanistan"
2020-02-25,0,"Afghanistan"
2020-02-26,0,"Afghanistan"
2020-02-27,0,"Afghanistan"
2020-02-28,3.18137501062139e-06,"Afghanistan"
2020-02-29,3.18137501062139e-06,"Afghanistan"
2020-03-01,3.18137501062139e-06,"Afghanistan"
2020-03-02,6.36275002124277e-06,"Afghanistan"
2020-03-03,1.27255000424855e-05,"Afghanistan"
2020-03-04,1.27255000424855e-05,"Afghanistan"
2020-03-05,1.05303512851568e-05,"Afghanistan"
2020-03-06,1.05303512851568e-05,"Afghanistan"
2020-03-07,1.05303512851568e-05,"Afghanistan"
2020-03-08,8.33520252782803e-06,"Afghanistan"
2020-03-09,3.94490501317052e-06,"Afghanistan"
2020-03-10,9.32142878112066e-06,"Afghanistan"
2020-03-11,9.32142878112066e-06,"Afghanistan"
2020-03-12,1.25028037917421e-05,"Afghanistan"
2020-03-13,1.15165775384494e-05,"Afghanistan"
2020-03-14,2.22696250743497e-05,"Afghanistan"
2020-03-15,3.18137501062139e-05,"Afghanistan"
2020-03-16,2.74234525915564e-05,"Afghanistan"
2020-03-17,3.06048276021777e-05,"Afghanistan"
2020-03-18,2.8409678844849e-05,"Afghanistan"
2020-03-19,3.79538038767131e-05,"Afghanistan"
2020-03-20,2.91732088473981e-05,"Afghanistan"
2020-03-21,3.01594351006908e-05,"Afghanistan"
2020-03-22,3.65221851219335e-05,"Afghanistan"
2020-03-23,3.97035601325549e-05,"Afghanistan"
2020-03-24,5.56104351856619e-05,"Afghanistan"
2020-03-25,4.50800839005051e-05,"Afghanistan"
2020-03-26,4.21214051406272e-05,"Afghanistan"
2020-03-27,4.50800839005051e-05,"Afghanistan"
2020-03-28,4.92476851644191e-05,"Afghanistan"
2020-03-29,4.48573876497616e-05,"Afghanistan"
2020-03-30,4.36484651457254e-05,"Afghanistan"
2020-03-31,5.00112151669682e-05,"Afghanistan"
2020-04-01,5.02339114177117e-05,"Afghanistan"
2020-04-02,5.44015126816257e-05,"Afghanistan"
2020-04-03,5.53877389349184e-05,"Afghanistan"
2020-04-04,7.27262327428049e-05,"Afghanistan"
2020-04-05,6.71270127241113e-05,"Afghanistan"
2020-04-06,6.90994652306965e-05,"Afghanistan"
2020-04-07,7.66711377559754e-05,"Afghanistan"
2020-04-08,7.76573640092681e-05,"Afghanistan"
2020-04-09,8.37974177797673e-05,"Afghanistan"
2020-04-10,0.000105844346603374,"Afghanistan"
2020-04-11,0.000117583620392566,"Afghanistan"
2020-04-12,0.000128113971677723,"Afghanistan"
2020-04-13,0.00014402084673083,"Afghanistan"
2020-04-14,0.00013864432296288,"Afghanistan"
2020-04-15,0.000132504269192381,"Afghanistan"
2020-04-16,0.000122069359157543,"Afghanistan"
2020-04-17,0.00012502803791742,"Afghanistan"
2020-04-18,0.000116470139138849,"Afghanistan"
2020-04-19,0.000108675770362827,"Afghanistan"
2020-04-20,0.000116247442888105,"Afghanistan"
2020-04-21,0.000109566555365801,"Afghanistan"
2020-04-22,0.000145547906735928,"Afghanistan"
2020-04-23,0.000177361656842142,"Afghanistan"
2020-04-24,0.000167276698058473,"Afghanistan"
2020-04-25,0.000167054001807729,"Afghanistan"
2020-04-26,0.000169026454314314,"Afghanistan"
2020-04-27,0.000182960876860836,"Afghanistan"
2020-04-28,0.000159800466783512,"Afghanistan"
2020-04-29,0.000163077283044452,"Afghanistan"
2020-04-30,0.000190946128137496,"Afghanistan"
2020-05-01,0.00018359715186296,"Afghanistan"
2020-05-02,0.000171857878073767,"Afghanistan"
2020-05-03,0.000138517067962455,"Afghanistan"
2020-05-04,0.000132822406693443,"Afghanistan"
2020-05-05,0.000130945395437176,"Afghanistan"
2020-05-06,0.000137848979210225,"Afghanistan"
2020-05-07,0.000138071675460968,"Afghanistan"
2020-05-08,0.000152451490508977,"Afghanistan"
2020-05-09,0.000169789984316863,"Afghanistan"
2020-05-10,0.000158496103029158,"Afghanistan"
2020-05-11,0.000206439424439222,"Afghanistan"
2020-05-12,0.000199408585665749,"Afghanistan"
2020-05-13,0.000220469288236062,"Afghanistan"
2020-05-14,0.000259186622115324,"Afghanistan"
2020-05-15,0.000330163098602288,"Afghanistan"
2020-05-16,0.000349474044916759,"Afghanistan"
2020-05-17,0.000333662611113971,"Afghanistan"
2020-05-18,0.00038434191503317,"Afghanistan"
2020-05-19,0.000423504641413919,"Afghanistan"
2020-05-20,0.000439729653968088,"Afghanistan"
2020-05-21,0.000384850935034869,"Afghanistan"
2020-05-22,0.000398467220080329,"Afghanistan"
2020-05-23,0.000381892256274991,"Afghanistan"
2020-05-24,0.000368275971229532,"Afghanistan"
2020-05-25,0.000345783649904439,"Afghanistan"
2020-05-26,0.000405911637605183,"Afghanistan"
2020-05-27,0.00038946392880027,"Afghanistan"
2020-05-28,0.000397576435077355,"Afghanistan"
2020-05-29,0.000399676142584365,"Afghanistan"
2020-05-30,0.000404511832600509,"Afghanistan"
2020-05-31,0.000419877873901811,"Afghanistan"
2020-06-01,0.000389559370050589,"Afghanistan"
2020-06-02,0.000479974047852449,"Afghanistan"
2020-06-03,0.000452423340260467,"Afghanistan"
2020-06-04,0.000476888114092146,"Afghanistan"
2020-06-05,0.000484014394115938,"Afghanistan"
2020-06-06,0.000436866416458529,"Afghanistan"
2020-06-07,0.000430153715186118,"Afghanistan"
2020-06-08,0.000419496108900536,"Afghanistan"
2020-06-09,0.0004950855791529,"Afghanistan"
2020-06-10,0.000472593257827807,"Afghanistan"
2020-06-11,0.000435625680204387,"Afghanistan"
2020-06-12,0.000509465394200909,"Afghanistan"
2020-06-13,0.000553591065598228,"Afghanistan"
2020-06-14,0.000554227340600352,"Afghanistan"
2020-06-15,0.000512964906712592,"Afghanistan"
2020-06-16,0.000535679924288429,"Afghanistan"
2020-06-17,0.000553018418096316,"Afghanistan"
2020-06-18,0.000529953449269311,"Afghanistan"
2020-06-19,0.000478606056597881,"Afghanistan"
2020-06-20,0.000404130067599235,"Afghanistan"
2020-06-21,0.000471702472824833,"Afghanistan"
2020-06-22,0.000565044015636465,"Afghanistan"
2020-06-23,0.000557281460610548,"Afghanistan"
2020-06-24,0.000581428096941165,"Afghanistan"
2020-06-25,0.00057869211443203,"Afghanistan"
2020-06-26,0.000612605572045254,"Afghanistan"
2020-06-27,0.000525594965504759,"Afghanistan"
2020-06-28,0.000413992330132161,"Afghanistan"
2020-06-29,0.00036232679995967,"Afghanistan"
2020-06-30,0.000338720997380859,"Afghanistan"
2019-12-31,0,"Albania"
2020-01-01,0,"Albania"
2020-01-02,0,"Albania"
2020-01-03,0,"Albania"
2020-01-04,0,"Albania"
2020-01-05,0,"Albania"
2020-01-06,0,"Albania"
2020-01-07,0,"Albania"
2020-01-08,0,"Albania"
2020-01-09,0,"Albania"
2020-01-10,0,"Albania"
2020-01-11,0,"Albania"
2020-01-12,0,"Albania"
2020-01-13,0,"Albania"
2020-01-14,0,"Albania"
2020-01-15,0,"Albania"
2020-01-16,0,"Albania"
2020-01-17,0,"Albania"
2020-01-18,0,"Albania"
2020-01-19,0,"Albania"
2020-01-20,0,"Albania"
2020-01-21,0,"Albania"
2020-01-22,0,"Albania"
2020-01-23,0,"Albania"
2020-01-24,0,"Albania"
2020-01-25,0,"Albania"
2020-01-26,0,"Albania"
2020-01-27,0,"Albania"
2020-01-28,0,"Albania"
2020-01-29,0,"Albania"
2020-01-30,0,"Albania"
2020-01-31,0,"Albania"
2020-02-01,0,"Albania"
2020-02-02,0,"Albania"
2020-02-03,0,"Albania"
2020-02-04,0,"Albania"
2020-02-05,0,"Albania"
2020-02-06,0,"Albania"
2020-02-07,0,"Albania"
2020-02-08,0,"Albania"
2020-02-09,0,"Albania"
2020-02-10,0,"Albania"
2020-02-11,0,"Albania"
2020-02-12,0,"Albania"
2020-02-13,0,"Albania"
2020-02-14,0,"Albania"
2020-02-15,0,"Albania"
2020-02-16,0,"Albania"
2020-02-17,4.30348360769852e-05,"Albania"
2020-02-18,4.30348360769852e-05,"Albania"
2020-02-19,4.30348360769852e-05,"Albania"
2020-02-20,4.30348360769852e-05,"Albania"
2020-02-21,4.30348360769852e-05,"Albania"
2020-02-22,4.30348360769852e-05,"Albania"
2020-02-23,1.33407991838654e-05,"Albania"
2020-02-24,5.63756352608506e-05,"Albania"
2020-02-25,5.63756352608506e-05,"Albania"
2020-02-26,5.63756352608506e-05,"Albania"
2020-02-27,5.63756352608506e-05,"Albania"
2020-02-28,4.30348360769852e-05,"Albania"
2020-02-29,0.000129104508230956,"Albania"
2020-03-01,0.000142445307414821,"Albania"
2020-03-02,0.000142445307414821,"Albania"
2020-03-03,0.000185480143491806,"Albania"
2020-03-04,0.000271549815645777,"Albania"
2020-03-05,0.000357619487799747,"Albania"
2020-03-06,0.000284890614829642,"Albania"
2020-03-07,0.000298231414013507,"Albania"
2020-03-08,0.000470370758321448,"Albania"
2020-03-09,0.000440676721428328,"Albania"
2020-03-10,0.000424323483719074,"Albania"
2020-03-11,0.000381288647642089,"Albania"
2020-03-12,0.000497052356689179,"Albania"
2020-03-13,0.000467358319796059,"Albania"
2020-03-14,0.0003782762091167,"Albania"
2020-03-15,0.000394629446825954,"Albania"
2020-03-16,0.000338253811565104,"Albania"
2020-03-17,0.000351594610748969,"Albania"
2020-03-18,0.000249171700885744,"Albania"
2020-03-19,0.000195808504150283,"Albania"
2020-03-20,0.000166114467257163,"Albania"
2020-03-21,0.000123079631180178,"Albania"
2020-03-22,0.000152773668073297,"Albania"
2020-03-23,0.000126092069705567,"Albania"
2020-03-24,0.000169126905782552,"Albania"
2020-03-25,0.000155786106598686,"Albania"
2020-03-26,0.000142445307414821,"Albania"
2020-03-27,0.000142445307414821,"Albania"
2020-03-28,9.94104713378358e-05,"Albania"
2020-03-29,6.9716434444716e-05,"Albania"
2020-03-30,8.30572336285814e-05,"Albania"
2020-03-31,8.30572336285814e-05,"Albania"
2020-04-01,8.30572336285814e-05,"Albania"
2020-04-02,6.9716434444716e-05,"Albania"
2020-04-03,9.94104713378358e-05,"Albania"
2020-04-04,8.60696721539704e-05,"Albania"
2020-04-05,0.000142445307414821,"Albania"
2020-04-06,0.000142445307414821,"Albania"
2020-04-07,0.000185480143491806,"Albania"
2020-04-08,0.000185480143491806,"Albania"
2020-04-09,0.000155786106598686,"Albania"
2020-04-10,0.000142445307414821,"Albania"
2020-04-11,8.30572336285814e-05,"Albania"
2020-04-12,8.30572336285814e-05,"Albania"
2020-04-13,5.33631967354616e-05,"Albania"
2020-04-14,4.00223975515962e-05,"Albania"
2020-04-15,4.00223975515962e-05,"Albania"
2020-04-16,1.33407991838654e-05,"Albania"
2020-04-17,1.33407991838654e-05,"Albania"
2020-04-18,0,"Albania"
2020-04-19,0,"Albania"
2020-04-20,0,"Albania"
2020-04-21,0,"Albania"
2020-04-22,0,"Albania"
2020-04-23,0,"Albania"
2020-04-24,0,"Albania"
2020-04-25,0,"Albania"
2020-04-26,0,"Albania"
2020-04-27,0,"Albania"
2020-04-28,0,"Albania"
2020-04-29,0,"Albania"
2020-04-30,0,"Albania"
2020-05-01,4.30348360769852e-05,"Albania"
2020-05-02,4.30348360769852e-05,"Albania"
2020-05-03,8.60696721539704e-05,"Albania"
2020-05-04,8.60696721539704e-05,"Albania"
2020-05-05,8.60696721539704e-05,"Albania"
2020-05-06,8.60696721539704e-05,"Albania"
2020-05-07,5.63756352608506e-05,"Albania"
2020-05-08,5.63756352608506e-05,"Albania"
2020-05-09,2.66815983677308e-05,"Albania"
2020-05-10,2.66815983677308e-05,"Albania"
2020-05-11,2.66815983677308e-05,"Albania"
2020-05-12,1.33407991838654e-05,"Albania"
2020-05-13,1.33407991838654e-05,"Albania"
2020-05-14,4.30348360769852e-05,"Albania"
2020-05-15,4.30348360769852e-05,"Albania"
2020-05-16,4.30348360769852e-05,"Albania"
2020-05-17,4.30348360769852e-05,"Albania"
2020-05-18,4.30348360769852e-05,"Albania"
2020-05-19,8.60696721539704e-05,"Albania"
2020-05-20,9.94104713378358e-05,"Albania"
2020-05-21,9.94104713378358e-05,"Albania"
2020-05-22,9.94104713378358e-05,"Albania"
2020-05-23,9.94104713378358e-05,"Albania"
2020-05-24,0.000142445307414821,"Albania"
2020-05-25,0.000142445307414821,"Albania"
2020-05-26,0.000155786106598686,"Albania"
2020-05-27,0.000284890614829642,"Albania"
2020-05-28,0.000327925450906627,"Albania"
2020-05-29,0.000370960286983612,"Albania"
2020-05-30,0.000327925450906627,"Albania"
2020-05-31,0.000327925450906627,"Albania"
2020-06-01,0.000384301086167478,"Albania"
2020-06-02,0.000381288647642089,"Albania"
2020-06-03,0.000437664282902939,"Albania"
2020-06-04,0.000480699118979925,"Albania"
2020-06-05,0.000553427991950029,"Albania"
2020-06-06,0.000639497664104,"Albania"
2020-06-07,0.000712226537074105,"Albania"
2020-06-08,0.000768602172334955,"Albania"
2020-06-09,0.000868012643672791,"Albania"
2020-06-10,0.000937729078117507,"Albania"
2020-06-11,0.000951069877301373,"Albania"
2020-06-12,0.000921375840408253,"Albania"
2020-06-13,0.000905022602698998,"Albania"
2020-06-14,0.000875328565805879,"Albania"
2020-06-15,0.000815940492019639,"Albania"
2020-06-16,0.000700176782972549,"Albania"
2020-06-17,0.000686835983788684,"Albania"
2020-06-18,0.000746224057574923,"Albania"
2020-06-19,0.000789258893651908,"Albania"
2020-06-20,0.000762577295284177,"Albania"
2020-06-21,0.000749236496100312,"Albania"
2020-06-22,0.000894694242040522,"Albania"
2020-06-23,0.000937729078117507,"Albania"
2020-06-24,0.000908035041224387,"Albania"
2020-06-25,0.000934716639592118,"Albania"
2020-06-26,0.000891681803515133,"Albania"
2020-06-27,0.000875328565805879,"Albania"
2020-06-28,0.00090201016417361,"Albania"
2020-06-29,0.000888669364989744,"Albania"
2020-06-30,0.000875328565805879,"Albania"
2019-12-31,0,"Algeria"
2020-01-01,0,"Algeria"
2020-01-02,0,"Algeria"
2020-01-03,0,"Algeria"
2020-01-04,0,"Algeria"
2020-01-05,0,"Algeria"
2020-01-06,0,"Algeria"
2020-01-07,0,"Algeria"
2020-01-08,0,"Algeria"
2020-01-09,0,"Algeria"
2020-01-10,0,"Algeria"
2020-01-11,0,"Algeria"
2020-01-12,0,"Algeria"
2020-01-13,0,"Algeria"
2020-01-14,0,"Algeria"
2020-01-15,0,"Algeria"
2020-01-16,0,"Algeria"
2020-01-17,0,"Algeria"
2020-01-18,0,"Algeria"
2020-01-19,0,"Algeria"
2020-01-20,0,"Algeria"
2020-01-21,0,"Algeria"
2020-01-22,0,"Algeria"
2020-01-23,0,"Algeria"
2020-01-24,0,"Algeria"
2020-01-25,0,"Algeria"
2020-01-26,0,"Algeria"
2020-01-27,0,"Algeria"
2020-01-28,0,"Algeria"
2020-01-29,0,"Algeria"
2020-01-30,0,"Algeria"
2020-01-31,0,"Algeria"
2020-02-01,0,"Algeria"
2020-02-02,0,"Algeria"
2020-02-03,0,"Algeria"
2020-02-04,0,"Algeria"
2020-02-05,0,"Algeria"
2020-02-06,0,"Algeria"
2020-02-07,0,"Algeria"
2020-02-08,0,"Algeria"
2020-02-09,0,"Algeria"
2020-02-10,0,"Algeria"
2020-02-11,0,"Algeria"
2020-02-12,0,"Algeria"
2020-02-13,0,"Algeria"
2020-02-14,0,"Algeria"
2020-02-15,0,"Algeria"
2020-02-16,0,"Algeria"
2020-02-17,0,"Algeria"
2020-02-18,2.29190700350763e-06,"Algeria"
2020-02-19,4.58381400701525e-06,"Algeria"
2020-02-20,6.87572101052288e-06,"Algeria"
2020-02-21,9.16762801403051e-06,"Algeria"
2020-02-22,9.16762801403051e-06,"Algeria"
2020-02-23,9.16762801403051e-06,"Algeria"
2020-02-24,1.44619331921331e-05,"Algeria"
2020-02-25,1.74643313667281e-05,"Algeria"
2020-02-26,2.04667295413231e-05,"Algeria"
2020-02-27,2.80529417229333e-05,"Algeria"
2020-02-28,3.26367557299486e-05,"Algeria"
2020-02-29,3.19262645588612e-05,"Algeria"
2020-03-01,3.10553398975283e-05,"Algeria"
2020-03-02,3.17658310686157e-05,"Algeria"
2020-03-03,3.70601362467183e-05,"Algeria"
2020-03-04,3.30263799205449e-05,"Algeria"
2020-03-05,3.67392692662273e-05,"Algeria"
2020-03-06,3.91916097599804e-05,"Algeria"
2020-03-07,4.37754237669957e-05,"Algeria"
2020-03-08,5.98187727915491e-05,"Algeria"
2020-03-09,8.27378428266253e-05,"Algeria"
2020-03-10,0.000143908840750244,"Algeria"
2020-03-11,0.000182710826319628,"Algeria"
2020-03-12,0.000235424687400303,"Algeria"
2020-03-13,0.000278099995805615,"Algeria"
2020-03-14,0.000309155335703144,"Algeria"
2020-03-15,0.000332143162948325,"Algeria"
2020-03-16,0.000313234930169387,"Algeria"
2020-03-17,0.000350524257116456,"Algeria"
2020-03-18,0.00035627694369526,"Algeria"
2020-03-19,0.000358637607908873,"Algeria"
2020-03-20,0.000356735325095962,"Algeria"
2020-03-21,0.000351051395727263,"Algeria"
2020-03-22,0.000348369864533159,"Algeria"
2020-03-23,0.000306084180318444,"Algeria"
2020-03-24,0.000284746526115787,"Algeria"
2020-03-25,0.00027644982276309,"Algeria"
2020-03-26,0.000240650235368301,"Algeria"
2020-03-27,0.000218831280694908,"Algeria"
2020-03-28,0.000197585302772392,"Algeria"
2020-03-29,0.000185186085883416,"Algeria"
2020-03-30,0.000175628833678789,"Algeria"
2020-03-31,0.000148996874298031,"Algeria"
2020-04-01,0.000148378059407084,"Algeria"
2020-04-02,0.000135657975537616,"Algeria"
2020-04-03,0.000128071763356006,"Algeria"
2020-04-04,0.000122937891668149,"Algeria"
2020-04-05,0.000107215409624087,"Algeria"
2020-04-06,0.000113220205973277,"Algeria"
2020-04-07,0.000108636391966261,"Algeria"
2020-04-08,0.000102792029107317,"Algeria"
2020-04-09,0.000101371046765142,"Algeria"
2020-04-10,9.23638522413573e-05,"Algeria"
2020-04-11,8.54881312308345e-05,"Algeria"
2020-04-12,8.01938260527319e-05,"Algeria"
2020-04-13,8.16148083949066e-05,"Algeria"
2020-04-14,8.8650962895675e-05,"Algeria"
2020-04-15,8.564856472108e-05,"Algeria"
2020-04-16,8.95218875570079e-05,"Algeria"
2020-04-17,9.97208737226168e-05,"Algeria"
2020-04-18,9.90103825515295e-05,"Algeria"
2020-04-19,0.000105725670071807,"Algeria"
2020-04-20,0.000106436161242894,"Algeria"
2020-04-21,0.000111730466420997,"Algeria"
2020-04-22,0.000116864338108854,"Algeria"
2020-04-23,0.000114411997615101,"Algeria"
2020-04-24,0.000115993413447521,"Algeria"
2020-04-25,0.000114411997615101,"Algeria"
2020-04-26,0.000113541072953768,"Algeria"
2020-04-27,0.000114251564124855,"Algeria"
2020-04-28,0.000113541072953768,"Algeria"
2020-04-29,0.000116543471128363,"Algeria"
2020-04-30,0.000124290116800219,"Algeria"
2020-05-01,0.000126582023803726,"Algeria"
2020-05-02,0.000132747253643162,"Algeria"
2020-05-03,0.000135039160646669,"Algeria"
2020-05-04,0.000133457744814249,"Algeria"
2020-05-05,0.000134168235985336,"Algeria"
2020-05-06,0.000131715895491583,"Algeria"
2020-05-07,0.000133136877833758,"Algeria"
2020-05-08,0.000129974046168917,"Algeria"
2020-05-09,0.000130684537340005,"Algeria"
2020-05-10,0.000129974046168917,"Algeria"
2020-05-11,0.000125550665652148,"Algeria"
2020-05-12,0.000125550665652148,"Algeria"
2020-05-13,0.000127132081484568,"Algeria"
2020-05-14,0.000128713497316988,"Algeria"
2020-05-15,0.000132426386662671,"Algeria"
2020-05-16,0.000136299709498599,"Algeria"
2020-05-17,0.000141754448166947,"Algeria"
2020-05-18,0.000141754448166947,"Algeria"
2020-05-19,0.000143175430509121,"Algeria"
2020-05-20,0.000147759244516137,"Algeria"
2020-05-21,0.000149890718029399,"Algeria"
2020-05-22,0.000149019793368066,"Algeria"
2020-05-23,0.000152022191542661,"Algeria"
2020-05-24,0.000158187421382096,"Algeria"
2020-05-25,0.000163481726560199,"Algeria"
2020-05-26,0.000168776031738302,"Algeria"
2020-05-27,0.000180946057926927,"Algeria"
2020-05-28,0.000190984610602291,"Algeria"
2020-05-29,0.00018782177893745,"Algeria"
2020-05-30,0.000180075133265594,"Algeria"
2020-05-31,0.000176201810429666,"Algeria"
2020-06-01,0.000169165655928898,"Algeria"
2020-06-02,0.000162679559108971,"Algeria"
2020-06-03,0.000152641006433608,"Algeria"
2020-06-04,0.000148217625916838,"Algeria"
2020-06-05,0.000140791847225473,"Algeria"
2020-06-06,0.000136368466708704,"Algeria"
2020-06-07,0.000129813612678672,"Algeria"
2020-06-08,0.000125390232161902,"Algeria"
2020-06-09,0.000126971647994323,"Algeria"
2020-06-10,0.000131555462001338,"Algeria"
2020-06-11,0.000137881125331019,"Algeria"
2020-06-12,0.000133297311324004,"Algeria"
2020-06-13,0.000131876328981829,"Algeria"
2020-06-14,0.000134878727156424,"Algeria"
2020-06-15,0.000140173032334526,"Algeria"
2020-06-16,0.000145306904022384,"Algeria"
2020-06-17,0.000143725488189963,"Algeria"
2020-06-18,0.000147598811025891,"Algeria"
2020-06-19,0.000146888319854804,"Algeria"
2020-06-20,0.000143014997018876,"Algeria"
2020-06-21,0.000143725488189963,"Algeria"
2020-06-22,0.000149019793368066,"Algeria"
2020-06-23,0.000159608403724271,"Algeria"
2020-06-24,0.000153443173884836,"Algeria"
2020-06-25,0.000161189819556691,"Algeria"
2020-06-26,0.000165934067053952,"Algeria"
2020-06-27,0.000163642160050445,"Algeria"
2020-06-28,0.000168776031738302,"Algeria"
2020-06-29,0.000169326089419143,"Algeria"
2020-06-30,0.00018624036310503,"Algeria"
2019-12-31,0,"Andorra"
2020-01-01,0,"Andorra"
2020-01-02,0,"Andorra"
2020-01-03,0,"Andorra"
2020-01-04,0,"Andorra"
2020-01-05,0,"Andorra"
2020-01-06,0,"Andorra"
2020-01-07,0,"Andorra"
2020-01-08,0,"Andorra"
2020-01-09,0,"Andorra"
2020-01-10,0,"Andorra"
2020-01-11,0,"Andorra"
2020-01-12,0,"Andorra"
2020-01-13,0,"Andorra"
2020-01-14,0,"Andorra"
2020-01-15,0,"Andorra"
2020-01-16,0,"Andorra"
2020-01-17,0,"Andorra"
2020-01-18,0,"Andorra"
2020-01-19,0,"Andorra"
2020-01-20,0,"Andorra"
2020-01-21,0,"Andorra"
2020-01-22,0,"Andorra"
2020-01-23,0,"Andorra"
2020-01-24,0,"Andorra"
2020-01-25,0,"Andorra"
2020-01-26,0,"Andorra"
2020-01-27,0,"Andorra"
