"date","seeder_proportion","location"
2019-12-31,0,"Afghanistan"
2020-01-01,0,"Afghanistan"
2020-01-02,0,"Afghanistan"
2020-01-03,0,"Afghanistan"
2020-01-04,0,"Afghanistan"
2020-01-05,0,"Afghanistan"
2020-01-06,0,"Afghanistan"
2020-01-07,0,"Afghanistan"
2020-01-08,0,"Afghanistan"
2020-01-09,0,"Afghanistan"
2020-01-10,0,"Afghanistan"
2020-01-11,0,"Afghanistan"
2020-01-12,0,"Afghanistan"
2020-01-13,0,"Afghanistan"
2020-01-14,0,"Afghanistan"
2020-01-15,0,"Afghanistan"
2020-01-16,0,"Afghanistan"
2020-01-17,0,"Afghanistan"
2020-01-18,0,"Afghanistan"
2020-01-19,0,"Afghanistan"
2020-01-20,0,"Afghanistan"
2020-01-21,0,"Afghanistan"
2020-01-22,0,"Afghanistan"
2020-01-23,0,"Afghanistan"
2020-01-24,0,"Afghanistan"
2020-01-25,0,"Afghanistan"
2020-01-26,0,"Afghanistan"
2020-01-27,0,"Afghanistan"
2020-01-28,0,"Afghanistan"
2020-01-29,0,"Afghanistan"
2020-01-30,0,"Afghanistan"
2020-01-31,0,"Afghanistan"
2020-02-01,0,"Afghanistan"
2020-02-02,0,"Afghanistan"
2020-02-03,0,"Afghanistan"
2020-02-04,0,"Afghanistan"
2020-02-05,0,"Afghanistan"
2020-02-06,0,"Afghanistan"
2020-02-07,0,"Afghanistan"
2020-02-08,0,"Afghanistan"
2020-02-09,0,"Afghanistan"
2020-02-10,0,"Afghanistan"
2020-02-11,0,"Afghanistan"
2020-02-12,0,"Afghanistan"
2020-02-13,0,"Afghanistan"
2020-02-14,0,"Afghanistan"
2020-02-15,0,"Afghanistan"
2020-02-16,0,"Afghanistan"
2020-02-17,0,"Afghanistan"
2020-02-18,0,"Afghanistan"
2020-02-19,0,"Afghanistan"
2020-02-20,0,"Afghanistan"
2020-02-21,0,"Afghanistan"
2020-02-22,0,"Afghanistan"
2020-02-23,0,"Afghanistan"
2020-02-24,0,"Afghanistan"
2020-02-25,0,"Afghanistan"
2020-02-26,0,"Afghanistan"
2020-02-27,0,"Afghanistan"
2020-02-28,2.56882254499363e-06,"Afghanistan"
2020-02-29,2.56882254499363e-06,"Afghanistan"
2020-03-01,2.56882254499363e-06,"Afghanistan"
2020-03-02,5.13764508998727e-06,"Afghanistan"
2020-03-03,1.02752901799745e-05,"Afghanistan"
2020-03-04,1.02752901799745e-05,"Afghanistan"
2020-03-05,8.50280262392893e-06,"Afghanistan"
2020-03-06,8.50280262392893e-06,"Afghanistan"
2020-03-07,8.50280262392893e-06,"Afghanistan"
2020-03-08,6.73031506788332e-06,"Afghanistan"
2020-03-09,3.18533995579211e-06,"Afghanistan"
2020-03-10,7.52665005683135e-06,"Afghanistan"
2020-03-11,7.52665005683135e-06,"Afghanistan"
2020-03-12,1.0095472601825e-05,"Afghanistan"
2020-03-13,9.29913761287695e-06,"Afghanistan"
2020-03-14,1.79817578149554e-05,"Afghanistan"
2020-03-15,2.56882254499363e-05,"Afghanistan"
2020-03-16,2.21432503378451e-05,"Afghanistan"
2020-03-17,2.47120728828387e-05,"Afghanistan"
2020-03-18,2.29395853267931e-05,"Afghanistan"
2020-03-19,3.0646052961774e-05,"Afghanistan"
2020-03-20,2.35561027375916e-05,"Afghanistan"
2020-03-21,2.43524377265396e-05,"Afghanistan"
2020-03-22,2.94900828165269e-05,"Afghanistan"
2020-03-23,3.20589053615205e-05,"Afghanistan"
2020-03-24,4.49030180864887e-05,"Afghanistan"
2020-03-25,3.64002154625598e-05,"Afghanistan"
2020-03-26,3.40112104957157e-05,"Afghanistan"
2020-03-27,3.64002154625598e-05,"Afghanistan"
2020-03-28,3.97653729965014e-05,"Afghanistan"
2020-03-29,3.62203978844102e-05,"Afghanistan"
2020-03-30,3.52442453173127e-05,"Afghanistan"
2020-03-31,4.03818904072999e-05,"Afghanistan"
2020-04-01,4.05617079854495e-05,"Afghanistan"
2020-04-02,4.39268655193911e-05,"Afghanistan"
2020-04-03,4.47232005083392e-05,"Afghanistan"
2020-04-04,5.87232833785545e-05,"Afghanistan"
2020-04-05,5.42021556993657e-05,"Afghanistan"
2020-04-06,5.57948256772617e-05,"Afghanistan"
2020-04-07,6.19086233343466e-05,"Afghanistan"
2020-04-08,6.27049583232946e-05,"Afghanistan"
2020-04-09,6.76627858351323e-05,"Afghanistan"
2020-04-10,8.54647260719382e-05,"Afghanistan"
2020-04-11,9.49436812629647e-05,"Afghanistan"
2020-04-12,0.000103446483886894,"Afghanistan"
2020-04-13,0.000116290596611862,"Afghanistan"
2020-04-14,0.000111949286510823,"Afghanistan"
2020-04-15,0.000106991458998985,"Afghanistan"
2020-04-16,9.85657210514057e-05,"Afghanistan"
2020-04-17,0.00010095472601825,"Afghanistan"
2020-04-18,9.40445933722169e-05,"Afghanistan"
2020-04-19,8.77509781369825e-05,"Afghanistan"
2020-04-20,9.38647757940674e-05,"Afghanistan"
2020-04-21,8.84702484495807e-05,"Afghanistan"
2020-04-22,0.000117523631433459,"Afghanistan"
2020-04-23,0.000143211856883395,"Afghanistan"
2020-04-24,0.000135068689415765,"Afghanistan"
2020-04-25,0.000134888871837616,"Afghanistan"
2020-04-26,0.000136481541815512,"Afghanistan"
2020-04-27,0.000147732984562584,"Afghanistan"
2020-04-28,0.00012903195643503,"Afghanistan"
2020-04-29,0.000131677843656374,"Afghanistan"
2020-04-30,0.000154180729150518,"Afghanistan"
2020-05-01,0.000148246749071583,"Afghanistan"
2020-05-02,0.000138767793880556,"Afghanistan"
2020-05-03,0.000111846533609023,"Afghanistan"
2020-05-04,0.000107248341253484,"Afghanistan"
2020-05-05,0.000105732735951938,"Afghanistan"
2020-05-06,0.000111307080874574,"Afghanistan"
2020-05-07,0.000111486898452724,"Afghanistan"
2020-05-08,0.000123097976356095,"Afghanistan"
2020-05-09,0.00013709805922631,"Afghanistan"
2020-05-10,0.000127978739191583,"Afghanistan"
2020-05-11,0.000166690894944637,"Afghanistan"
2020-05-12,0.000161013797120201,"Afghanistan"
2020-05-13,0.000178019402368059,"Afghanistan"
2020-05-14,0.000209281972740631,"Afghanistan"
2020-05-15,0.000266592403719439,"Afghanistan"
2020-05-16,0.000282185156567551,"Afghanistan"
2020-05-17,0.000269418108518932,"Afghanistan"
2020-05-18,0.000310339451660681,"Afghanistan"
2020-05-19,0.000341961657189552,"Afghanistan"
2020-05-20,0.00035506265216902,"Afghanistan"
2020-05-21,0.00031075046326788,"Afghanistan"
2020-05-22,0.000321745023760453,"Afghanistan"
2020-05-23,0.000308361458301036,"Afghanistan"
2020-05-24,0.000297366897808463,"Afghanistan"
2020-05-25,0.000279205322415358,"Afghanistan"
2020-05-26,0.000327756068515738,"Afghanistan"
2020-05-27,0.000314475255958121,"Afghanistan"
2020-05-28,0.000321025753447854,"Afghanistan"
2020-05-29,0.00032272117632755,"Afghanistan"
2020-05-30,0.00032662578659594,"Afghanistan"
2020-05-31,0.00033903319948826,"Afghanistan"
2020-06-01,0.00031455232063447,"Afghanistan"
2020-06-02,0.000387558257363189,"Afghanistan"
2020-06-03,0.000365312254123545,"Afghanistan"
2020-06-04,0.000385066499494546,"Afghanistan"
2020-06-05,0.000390820661995331,"Afghanistan"
2020-06-06,0.000352750711878526,"Afghanistan"
2020-06-07,0.000347330496308589,"Afghanistan"
2020-06-08,0.000338724940782861,"Afghanistan"
2020-06-09,0.000399760164451909,"Afghanistan"
2020-06-10,0.000381598589058804,"Afghanistan"
2020-06-11,0.000351748871085978,"Afghanistan"
2020-06-12,0.00041137124235528,"Afghanistan"
2020-06-13,0.000447000811054342,"Afghanistan"
2020-06-14,0.000447514575563341,"Afghanistan"
2020-06-15,0.000414196947154773,"Afghanistan"
2020-06-16,0.000432538340126028,"Afghanistan"
2020-06-17,0.000446538422996243,"Afghanistan"
2020-06-18,0.000427914459545039,"Afghanistan"
2020-06-19,0.000386453663668842,"Afghanistan"
2020-06-20,0.000326317527890541,"Afghanistan"
2020-06-21,0.000380879318746206,"Afghanistan"
2020-06-22,0.000456248572216319,"Afghanistan"
2020-06-23,0.000449980645206535,"Afghanistan"
2020-06-24,0.000469478008323036,"Afghanistan"
2020-06-25,0.000467268820934342,"Afghanistan"
2020-06-26,0.000494652469263974,"Afghanistan"
2020-06-27,0.000424395172658398,"Afghanistan"
2020-06-28,0.000334280877780022,"Afghanistan"
2020-06-29,0.000292563199649325,"Afghanistan"
2020-06-30,0.000273502536365472,"Afghanistan"
2019-12-31,0,"Albania"
2020-01-01,0,"Albania"
2020-01-02,0,"Albania"
2020-01-03,0,"Albania"
2020-01-04,0,"Albania"
2020-01-05,0,"Albania"
2020-01-06,0,"Albania"
2020-01-07,0,"Albania"
2020-01-08,0,"Albania"
2020-01-09,0,"Albania"
2020-01-10,0,"Albania"
2020-01-11,0,"Albania"
2020-01-12,0,"Albania"
2020-01-13,0,"Albania"
2020-01-14,0,"Albania"
2020-01-15,0,"Albania"
2020-01-16,0,"Albania"
2020-01-17,0,"Albania"
2020-01-18,0,"Albania"
2020-01-19,0,"Albania"
2020-01-20,0,"Albania"
2020-01-21,0,"Albania"
2020-01-22,0,"Albania"
2020-01-23,0,"Albania"
2020-01-24,0,"Albania"
2020-01-25,0,"Albania"
2020-01-26,0,"Albania"
2020-01-27,0,"Albania"
2020-01-28,0,"Albania"
2020-01-29,0,"Albania"
2020-01-30,0,"Albania"
2020-01-31,0,"Albania"
2020-02-01,0,"Albania"
2020-02-02,0,"Albania"
2020-02-03,0,"Albania"
2020-02-04,0,"Albania"
2020-02-05,0,"Albania"
2020-02-06,0,"Albania"
2020-02-07,0,"Albania"
2020-02-08,0,"Albania"
2020-02-09,0,"Albania"
2020-02-10,0,"Albania"
2020-02-11,0,"Albania"
2020-02-12,0,"Albania"
2020-02-13,0,"Albania"
2020-02-14,0,"Albania"
2020-02-15,0,"Albania"
2020-02-16,0,"Albania"
2020-02-17,3.47487664187921e-05,"Albania"
2020-02-18,3.47487664187921e-05,"Albania"
2020-02-19,3.47487664187921e-05,"Albania"
2020-02-20,3.47487664187921e-05,"Albania"
2020-02-21,3.47487664187921e-05,"Albania"
2020-02-22,3.47487664187921e-05,"Albania"
2020-02-23,1.07721175898256e-05,"Albania"
2020-02-24,4.55208840086177e-05,"Albania"
2020-02-25,4.55208840086177e-05,"Albania"
2020-02-26,4.55208840086177e-05,"Albania"
2020-02-27,4.55208840086177e-05,"Albania"
2020-02-28,3.47487664187921e-05,"Albania"
2020-02-29,0.000104246299256376,"Albania"
2020-03-01,0.000115018416846202,"Albania"
2020-03-02,0.000115018416846202,"Albania"
2020-03-03,0.000149767183264994,"Albania"
2020-03-04,0.000219264716102578,"Albania"
2020-03-05,0.000288762248940163,"Albania"
2020-03-06,0.000230036833692404,"Albania"
2020-03-07,0.000240808951282229,"Albania"
2020-03-08,0.000379804016957398,"Albania"
2020-03-09,0.000355827368128431,"Albania"
2020-03-10,0.00034262283688929,"Albania"
2020-03-11,0.000307874070470498,"Albania"
2020-03-12,0.000401348252137049,"Albania"
2020-03-13,0.000377371603308083,"Albania"
2020-03-14,0.000305441656821183,"Albania"
2020-03-15,0.000318646188060324,"Albania"
2020-03-16,0.000273125304051706,"Albania"
2020-03-17,0.000283897421641532,"Albania"
2020-03-18,0.000201195357564806,"Albania"
2020-03-19,0.000158106887205504,"Albania"
2020-03-20,0.000134130238376538,"Albania"
2020-03-21,9.93814719577455e-05,"Albania"
2020-03-22,0.000123358120786712,"Albania"
2020-03-23,0.000101813885607061,"Albania"
2020-03-24,0.000136562652025853,"Albania"
2020-03-25,0.000125790534436028,"Albania"
2020-03-26,0.000115018416846202,"Albania"
2020-03-27,0.000115018416846202,"Albania"
2020-03-28,8.02696504274098e-05,"Albania"
2020-03-29,5.62930015984433e-05,"Albania"
2020-03-30,6.70651191882688e-05,"Albania"
2020-03-31,6.70651191882688e-05,"Albania"
2020-04-01,6.70651191882688e-05,"Albania"
2020-04-02,5.62930015984433e-05,"Albania"
2020-04-03,8.02696504274098e-05,"Albania"
2020-04-04,6.94975328375843e-05,"Albania"
2020-04-05,0.000115018416846202,"Albania"
2020-04-06,0.000115018416846202,"Albania"
2020-04-07,0.000149767183264994,"Albania"
2020-04-08,0.000149767183264994,"Albania"
2020-04-09,0.000125790534436028,"Albania"
2020-04-10,0.000115018416846202,"Albania"
2020-04-11,6.70651191882688e-05,"Albania"
2020-04-12,6.70651191882688e-05,"Albania"
2020-04-13,4.30884703593022e-05,"Albania"
2020-04-14,3.23163527694767e-05,"Albania"
2020-04-15,3.23163527694767e-05,"Albania"
2020-04-16,1.07721175898256e-05,"Albania"
2020-04-17,1.07721175898256e-05,"Albania"
2020-04-18,0,"Albania"
2020-04-19,0,"Albania"
2020-04-20,0,"Albania"
2020-04-21,0,"Albania"
2020-04-22,0,"Albania"
2020-04-23,0,"Albania"
2020-04-24,0,"Albania"
2020-04-25,0,"Albania"
2020-04-26,0,"Albania"
2020-04-27,0,"Albania"
2020-04-28,0,"Albania"
2020-04-29,0,"Albania"
2020-04-30,0,"Albania"
2020-05-01,3.47487664187921e-05,"Albania"
2020-05-02,3.47487664187921e-05,"Albania"
2020-05-03,6.94975328375843e-05,"Albania"
2020-05-04,6.94975328375843e-05,"Albania"
2020-05-05,6.94975328375843e-05,"Albania"
2020-05-06,6.94975328375843e-05,"Albania"
2020-05-07,4.55208840086177e-05,"Albania"
2020-05-08,4.55208840086177e-05,"Albania"
2020-05-09,2.15442351796511e-05,"Albania"
2020-05-10,2.15442351796511e-05,"Albania"
2020-05-11,2.15442351796511e-05,"Albania"
2020-05-12,1.07721175898256e-05,"Albania"
2020-05-13,1.07721175898256e-05,"Albania"
2020-05-14,3.47487664187921e-05,"Albania"
2020-05-15,3.47487664187921e-05,"Albania"
2020-05-16,3.47487664187921e-05,"Albania"
2020-05-17,3.47487664187921e-05,"Albania"
2020-05-18,3.47487664187921e-05,"Albania"
2020-05-19,6.94975328375843e-05,"Albania"
2020-05-20,8.02696504274098e-05,"Albania"
2020-05-21,8.02696504274098e-05,"Albania"
2020-05-22,8.02696504274098e-05,"Albania"
2020-05-23,8.02696504274098e-05,"Albania"
2020-05-24,0.000115018416846202,"Albania"
2020-05-25,0.000115018416846202,"Albania"
2020-05-26,0.000125790534436028,"Albania"
2020-05-27,0.000230036833692404,"Albania"
2020-05-28,0.000264785600111196,"Albania"
2020-05-29,0.000299534366529988,"Albania"
2020-05-30,0.000264785600111196,"Albania"
2020-05-31,0.000264785600111196,"Albania"
2020-06-01,0.000310306484119814,"Albania"
2020-06-02,0.000307874070470498,"Albania"
2020-06-03,0.000353394954479116,"Albania"
2020-06-04,0.000388143720897908,"Albania"
2020-06-05,0.000446869136145667,"Albania"
2020-06-06,0.000516366668983251,"Albania"
2020-06-07,0.00057509208423101,"Albania"
2020-06-08,0.000620612968239627,"Albania"
2020-06-09,0.000700882618667037,"Albania"
2020-06-10,0.000757175620265481,"Albania"
2020-06-11,0.000767947737855306,"Albania"
2020-06-12,0.00074397108902634,"Albania"
2020-06-13,0.000730766557787199,"Albania"
2020-06-14,0.000706789908958232,"Albania"
2020-06-15,0.000658836611300299,"Albania"
2020-06-16,0.000565362429633748,"Albania"
2020-06-17,0.000554590312043922,"Albania"
2020-06-18,0.000602543609701856,"Albania"
2020-06-19,0.000637292376120648,"Albania"
2020-06-20,0.000615748140940997,"Albania"
2020-06-21,0.000604976023351171,"Albania"
2020-06-22,0.000722426853846688,"Albania"
2020-06-23,0.000757175620265481,"Albania"
2020-06-24,0.000733198971436514,"Albania"
2020-06-25,0.000754743206616165,"Albania"
2020-06-26,0.000719994440197373,"Albania"
2020-06-27,0.000706789908958232,"Albania"
2020-06-28,0.000728334144137883,"Albania"
2020-06-29,0.000717562026548058,"Albania"
2020-06-30,0.000706789908958232,"Albania"
2019-12-31,0,"Algeria"
2020-01-01,0,"Algeria"
2020-01-02,0,"Algeria"
2020-01-03,0,"Algeria"
2020-01-04,0,"Algeria"
2020-01-05,0,"Algeria"
2020-01-06,0,"Algeria"
2020-01-07,0,"Algeria"
2020-01-08,0,"Algeria"
2020-01-09,0,"Algeria"
2020-01-10,0,"Algeria"
2020-01-11,0,"Algeria"
2020-01-12,0,"Algeria"
2020-01-13,0,"Algeria"
2020-01-14,0,"Algeria"
2020-01-15,0,"Algeria"
2020-01-16,0,"Algeria"
2020-01-17,0,"Algeria"
2020-01-18,0,"Algeria"
2020-01-19,0,"Algeria"
2020-01-20,0,"Algeria"
2020-01-21,0,"Algeria"
2020-01-22,0,"Algeria"
2020-01-23,0,"Algeria"
2020-01-24,0,"Algeria"
2020-01-25,0,"Algeria"
2020-01-26,0,"Algeria"
2020-01-27,0,"Algeria"
2020-01-28,0,"Algeria"
2020-01-29,0,"Algeria"
2020-01-30,0,"Algeria"
2020-01-31,0,"Algeria"
2020-02-01,0,"Algeria"
2020-02-02,0,"Algeria"
2020-02-03,0,"Algeria"
2020-02-04,0,"Algeria"
2020-02-05,0,"Algeria"
2020-02-06,0,"Algeria"
2020-02-07,0,"Algeria"
2020-02-08,0,"Algeria"
2020-02-09,0,"Algeria"
2020-02-10,0,"Algeria"
2020-02-11,0,"Algeria"
2020-02-12,0,"Algeria"
2020-02-13,0,"Algeria"
2020-02-14,0,"Algeria"
2020-02-15,0,"Algeria"
2020-02-16,0,"Algeria"
2020-02-17,0,"Algeria"
2020-02-18,2.28044746849009e-06,"Algeria"
2020-02-19,4.56089493698018e-06,"Algeria"
2020-02-20,6.84134240547026e-06,"Algeria"
2020-02-21,9.12178987396035e-06,"Algeria"
2020-02-22,9.12178987396035e-06,"Algeria"
2020-02-23,9.12178987396035e-06,"Algeria"
2020-02-24,1.43896235261725e-05,"Algeria"
2020-02-25,1.73770097098945e-05,"Algeria"
2020-02-26,2.03643958936165e-05,"Algeria"
2020-02-27,2.79126770143187e-05,"Algeria"
2020-02-28,3.24735719512989e-05,"Algeria"
2020-02-29,3.17666332360669e-05,"Algeria"
2020-03-01,3.09000631980407e-05,"Algeria"
2020-03-02,3.16070019132726e-05,"Algeria"
2020-03-03,3.68748355654847e-05,"Algeria"
2020-03-04,3.28612480209422e-05,"Algeria"
2020-03-05,3.65555729198961e-05,"Algeria"
2020-03-06,3.89956517111805e-05,"Algeria"
2020-03-07,4.35565466481607e-05,"Algeria"
2020-03-08,5.95196789275913e-05,"Algeria"
2020-03-09,8.23241536124922e-05,"Algeria"
2020-03-10,0.000143189296546493,"Algeria"
2020-03-11,0.00018179727218803,"Algeria"
2020-03-12,0.000234247563963302,"Algeria"
2020-03-13,0.000276709495826587,"Algeria"
2020-03-14,0.000307609559024628,"Algeria"
2020-03-15,0.000330482447133584,"Algeria"
2020-03-16,0.00031166875551854,"Algeria"
2020-03-17,0.000348771635830874,"Algeria"
2020-03-18,0.000354495558976784,"Algeria"
2020-03-19,0.000356844419869329,"Algeria"
2020-03-20,0.000354951648470482,"Algeria"
2020-03-21,0.000349296138748627,"Algeria"
2020-03-22,0.000346628015210493,"Algeria"
2020-03-23,0.000304553759416851,"Algeria"
2020-03-24,0.000283322793485209,"Algeria"
2020-03-25,0.000275067573649274,"Algeria"
2020-03-26,0.000239446984191459,"Algeria"
2020-03-27,0.000217737124291434,"Algeria"
2020-03-28,0.000196597376258531,"Algeria"
2020-03-29,0.000184260155453999,"Algeria"
2020-03-30,0.000174750689510395,"Algeria"
2020-03-31,0.000148251889926541,"Algeria"
2020-04-01,0.000147636169110048,"Algeria"
2020-04-02,0.000134979685659928,"Algeria"
2020-04-03,0.000127431404539226,"Algeria"
2020-04-04,0.000122323202209808,"Algeria"
2020-04-05,0.000106679332575966,"Algeria"
2020-04-06,0.00011265410494341,"Algeria"
2020-04-07,0.00010809321000643,"Algeria"
2020-04-08,0.00010227806896178,"Algeria"
2020-04-09,0.000100864191531317,"Algeria"
2020-04-10,9.19020329801505e-05,"Algeria"
2020-04-11,8.50606905746803e-05,"Algeria"
2020-04-12,7.97928569224682e-05,"Algeria"
2020-04-13,8.1206734352932e-05,"Algeria"
2020-04-14,8.82077080811966e-05,"Algeria"
2020-04-15,8.52203218974746e-05,"Algeria"
2020-04-16,8.90742781192228e-05,"Algeria"
2020-04-17,9.92222693540037e-05,"Algeria"
2020-04-18,9.85153306387718e-05,"Algeria"
2020-04-19,0.000105197041721448,"Algeria"
2020-04-20,0.00010590398043668,"Algeria"
2020-04-21,0.000111171814088892,"Algeria"
2020-04-22,0.00011628001641831,"Algeria"
2020-04-23,0.000113839937627025,"Algeria"
2020-04-24,0.000115413446380283,"Algeria"
2020-04-25,0.000113839937627025,"Algeria"
2020-04-26,0.000112973367588999,"Algeria"
2020-04-27,0.000113680306304231,"Algeria"
2020-04-28,0.000112973367588999,"Algeria"
2020-04-29,0.000115960753772721,"Algeria"
2020-04-30,0.000123668666216217,"Algeria"
2020-05-01,0.000125949113684708,"Algeria"
2020-05-02,0.000132083517374946,"Algeria"
2020-05-03,0.000134363964843436,"Algeria"
2020-05-04,0.000132790456090178,"Algeria"
2020-05-05,0.00013349739480541,"Algeria"
2020-05-06,0.000131057316014125,"Algeria"
2020-05-07,0.000132471193444589,"Algeria"
2020-05-08,0.000129324175938073,"Algeria"
2020-05-09,0.000130031114653305,"Algeria"
2020-05-10,0.000129324175938073,"Algeria"
2020-05-11,0.000124922912323887,"Algeria"
2020-05-12,0.000124922912323887,"Algeria"
2020-05-13,0.000126496421077145,"Algeria"
2020-05-14,0.000128069929830403,"Algeria"
2020-05-15,0.000131764254729357,"Algeria"
2020-05-16,0.000135618210951106,"Algeria"
2020-05-17,0.000141045675926112,"Algeria"
2020-05-18,0.000141045675926112,"Algeria"
2020-05-19,0.000142459553356576,"Algeria"
2020-05-20,0.000147020448293556,"Algeria"
2020-05-21,0.000149141264439252,"Algeria"
2020-05-22,0.000148274694401226,"Algeria"
2020-05-23,0.000151262080584948,"Algeria"
2020-05-24,0.000157396484275186,"Algeria"
2020-05-25,0.000162664317927398,"Algeria"
2020-05-26,0.00016793215157961,"Algeria"
2020-05-27,0.000180041327637292,"Algeria"
2020-05-28,0.000190029687549279,"Algeria"
2020-05-29,0.000186882670042763,"Algeria"
2020-05-30,0.000179174757599266,"Algeria"
2020-05-31,0.000175320801377518,"Algeria"
2020-06-01,0.000168319827649253,"Algeria"
2020-06-02,0.000161866161313426,"Algeria"
2020-06-03,0.00015187780140144,"Algeria"
2020-06-04,0.000147476537787254,"Algeria"
2020-06-05,0.000140087887989346,"Algeria"
2020-06-06,0.00013568662437516,"Algeria"
2020-06-07,0.000129164544615279,"Algeria"
2020-06-08,0.000124763281001093,"Algeria"
2020-06-09,0.000126336789754351,"Algeria"
2020-06-10,0.000130897684691331,"Algeria"
2020-06-11,0.000137191719704364,"Algeria"
2020-06-12,0.000132630824767384,"Algeria"
2020-06-13,0.00013121694733692,"Algeria"
2020-06-14,0.000134204333520642,"Algeria"
2020-06-15,0.000139472167172854,"Algeria"
2020-06-16,0.000144580369502272,"Algeria"
2020-06-17,0.000143006860749013,"Algeria"
2020-06-18,0.000146860816970762,"Algeria"
2020-06-19,0.00014615387825553,"Algeria"
2020-06-20,0.000142299922033781,"Algeria"
2020-06-21,0.000143006860749013,"Algeria"
2020-06-22,0.000148274694401226,"Algeria"
2020-06-23,0.00015881036170565,"Algeria"
2020-06-24,0.000152675958015411,"Algeria"
2020-06-25,0.000160383870458908,"Algeria"
2020-06-26,0.000165104396718682,"Algeria"
2020-06-27,0.000162823949250192,"Algeria"
2020-06-28,0.00016793215157961,"Algeria"
2020-06-29,0.000168479458972048,"Algeria"
2020-06-30,0.000185309161289505,"Algeria"
2019-12-31,0,"Andorra"
2020-01-01,0,"Andorra"
2020-01-02,0,"Andorra"
2020-01-03,0,"Andorra"
2020-01-04,0,"Andorra"
2020-01-05,0,"Andorra"
2020-01-06,0,"Andorra"
2020-01-07,0,"Andorra"
2020-01-08,0,"Andorra"
2020-01-09,0,"Andorra"
2020-01-10,0,"Andorra"
2020-01-11,0,"Andorra"
2020-01-12,0,"Andorra"
2020-01-13,0,"Andorra"
2020-01-14,0,"Andorra"
2020-01-15,0,"Andorra"
2020-01-16,0,"Andorra"
2020-01-17,0,"Andorra"
2020-01-18,0,"Andorra"
2020-01-19,0,"Andorra"
2020-01-20,0,"Andorra"
2020-01-21,0,"Andorra"
2020-01-22,0,"Andorra"
2020-01-23,0,"Andorra"
2020-01-24,0,"Andorra"
2020-01-25,0,"Andorra"
2020-01-26,0,"Andorra"
