"tmrca","model","id"
77,"truth",1
116,"truth",1
68,"truth",1
93,"truth",1
83,"truth",1
83,"truth",1
91,"truth",1
80,"truth",1
87,"truth",1
74,"truth",1
83,"truth",1
88,"truth",1
99,"truth",1
97,"truth",1
74,"truth",1
78,"truth",1
89,"truth",1
87,"truth",1
63,"truth",1
65,"truth",1
79,"truth",1
70,"truth",1
81,"truth",1
109,"truth",1
80,"truth",1
84,"truth",1
81,"truth",1
89,"truth",1
75,"truth",1
27,"truth",1
80,"truth",1
70,"truth",1
68,"truth",1
60,"truth",1
69,"truth",1
60,"truth",1
71,"truth",1
29,"truth",1
69,"truth",1
79,"truth",1
63,"truth",1
63,"truth",1
29,"truth",1
62,"truth",1
84,"truth",1
82,"truth",1
77,"truth",1
47,"truth",1
79,"truth",1
88,"truth",1
86,"truth",1
88,"truth",1
57,"truth",1
67,"truth",1
78,"truth",1
75,"truth",1
76,"truth",1
75,"truth",1
94,"truth",1
79,"truth",1
66,"truth",1
69,"truth",1
73,"truth",1
77,"truth",1
63,"truth",1
77,"truth",1
46,"truth",1
80,"truth",1
53,"truth",1
81,"truth",1
96,"truth",1
89,"truth",1
103,"truth",1
106,"truth",1
73,"truth",1
81,"truth",1
49,"truth",1
86,"truth",1
78,"truth",1
52,"truth",1
79,"truth",1
80,"truth",1
79,"truth",1
70,"truth",1
85,"truth",1
56,"truth",1
85,"truth",1
78,"truth",1
87,"truth",1
86,"truth",1
94,"truth",1
75,"truth",1
67,"truth",1
91,"truth",1
87,"truth",1
89,"truth",1
37,"truth",1
94,"truth",1
74,"truth",1
75,"truth",1
46,"truth",1
77,"truth",1
63,"truth",1
88,"truth",1
84,"truth",1
58,"truth",1
60,"truth",1
79,"truth",1
112,"truth",1
87,"truth",1
49,"truth",1
81,"truth",1
117,"truth",1
57,"truth",1
98,"truth",1
67,"truth",1
82,"truth",1
76,"truth",1
42,"truth",1
61,"truth",1
78,"truth",1
66,"truth",1
62,"truth",1
76,"truth",1
76,"truth",1
99,"truth",1
81,"truth",1
71,"truth",1
77,"truth",1
99,"truth",1
95,"truth",1
73,"truth",1
87,"truth",1
83,"truth",1
50,"truth",1
62,"truth",1
64,"truth",1
62,"truth",1
61,"truth",1
55,"truth",1
29,"truth",1
43,"truth",1
64,"truth",1
63,"truth",1
52,"truth",1
56,"truth",1
52,"truth",1
61,"truth",1
64,"truth",1
63,"truth",1
66,"truth",1
70,"truth",1
50,"truth",1
69,"truth",1
57,"truth",1
68,"truth",1
65,"truth",1
52,"truth",1
75,"truth",1
70,"truth",1
48,"truth",1
71,"truth",1
43,"truth",1
63,"truth",1
87,"truth",1
85,"truth",1
85,"truth",1
87,"truth",1
79,"truth",1
68,"truth",1
92,"truth",1
118,"truth",1
94,"truth",1
62,"truth",1
78,"truth",1
98,"truth",1
108,"truth",1
99,"truth",1
64,"truth",1
82,"truth",1
85,"truth",1
86,"truth",1
92,"truth",1
94,"truth",1
92,"truth",1
70,"truth",1
70,"truth",1
71,"truth",1
69,"truth",1
71,"truth",1
70,"truth",1
65,"truth",1
72,"truth",1
65,"truth",1
55,"truth",1
71,"truth",1
70,"truth",1
68,"truth",1
64,"truth",1
68,"truth",1
64,"truth",1
70,"truth",1
72,"truth",1
70,"truth",1
72,"truth",1
69,"truth",1
65,"truth",1
70,"truth",1
64,"truth",1
76,"truth",1
66,"truth",1
71,"truth",1
67,"truth",1
75,"truth",1
73,"truth",1
66,"truth",1
76,"truth",1
70,"truth",1
73,"truth",1
78,"truth",1
74,"truth",1
76,"truth",1
74,"truth",1
60,"truth",1
73,"truth",1
