alpha,beta,llhd
02,05,-4392.3533470179
04,05,-4268.95542931835
06,05,-4201.65027639862
08,05,-4168.71979520128
10,05,-4159.87860833017
12,05,-4167.41300105509
14,05,-4185.66454752613
16,05,-4210.76127404191
18,05,-4240.13606463434
20,05,-4272.09801199169
02,10,-4320.50186859117
04,10,-4226.84807228471
06,10,-4177.44840280245
08,10,-4157.23194557748
10,10,-4157.220651264
12,10,-4170.69704953352
14,10,-4192.8854137582
16,10,-4220.56886188044
18,10,-4251.62589998891
20,10,-4284.66037260818
02,15,-4270.96568315292
04,15,-4198.19137938923
06,15,-4162.82225247797
08,15,-4152.45111678306
10,15,-4159.13910801883
12,15,-4177.06921040625
14,15,-4202.18266942069
16,15,-4231.76731380144
18,15,-4264.03867680402
20,15,-4297.82279542402
02,20,-4235.82809070636
04,20,-4179.36202482545
06,20,-4155.12528769238
08,20,-4152.43360754348
10,20,-4164.27806907748
12,20,-4185.60420084161
14,20,-4212.92553986377
16,20,-4243.92306430814
18,20,-4277.07300973832
20,20,-4311.37339062548
02,25,-4211.18182327914
04,25,-4167.7948192559
06,25,-4152.4661445121
08,25,-4155.84172110172
10,25,-4171.7184016339
12,25,-4195.67428910143
14,25,-4224.68273121455
16,25,-4256.73667802601
18,25,-4290.51868706409
20,25,-4325.16309378081
02,30,-4194.38707156697
04,30,-4161.63581572337
06,30,-4153.51569256962
08,30,-4161.75101506639
10,30,-4180.82604723029
12,30,-4206.84395176052
14,30,-4237.1524948092
16,30,-4269.99686025739
18,30,-4304.22625649381
20,30,-4339.08530991362
02,35,-4183.550461276
04,35,-4159.55328307178
06,35,-4157.33476119136
08,35,-4169.51167979379
10,35,-4191.15404514107
12,35,-4218.80423740002
14,35,-4250.11926478329
16,35,-4283.55170329342
18,35,-4318.0877453126
20,35,-4353.06280522591
02,40,-4177.29518246625
04,40,-4160.58405726078
06,40,-4163.24929851293
08,40,-4178.65762799471
10,40,-4202.38060002834
12,40,-4231.33153624812
14,40,-4263.42622559271
16,40,-4297.29026373623
18,40,-4332.02412451636
20,40,-4367.03905460347
02,45,-4174.60792219136
04,45,-4164.02172711773
06,45,-4170.76662037653
08,45,-4188.84790952888
10,45,-4214.26956203699
12,45,-4244.26114773305
14,45,-4276.95753151295
16,45,-4311.13046076025
18,45,-4345.97695801805
20,45,-4380.97239809086
02,50,-4174.73201426756
04,50,-4169.33976368578
06,50,-4179.52011623361
08,50,-4199.82861297837
10,50,-4226.64470507305
12,50,-4257.46993041983
14,50,-4290.62649866205
16,50,-4325.0109366263
18,50,-4359.90271423157
20,50,-4394.83201157826
02,55,-4177.09378118678
04,55,-4176.13941786788
06,55,-4189.23247644476
08,55,-4211.4076336359
10,55,-4239.37260556011
12,55,-4270.86464394728
14,55,-4304.36758203137
16,55,-4338.88546222461
18,55,-4373.76881206019
20,55,-4408.59507599406
02,60,-4181.25189890631
04,60,-4184.11421738072
06,60,-4199.69084538294
08,60,-4223.43761185702
10,60,-4252.35099003276
12,60,-4284.37394169838
14,60,-4318.13080884682
16,60,-4352.7190156531
18,60,-4387.55082197067
20,60,-4422.24475485393
02,65,-4186.86228210523
04,65,-4193.02544872648
06,65,-4210.72971792488
08,65,-4235.80415513096
10,65,-4265.50063749729
12,65,-4297.94275914859
14,65,-4331.87784221164
16,65,-4366.48498447285
18,65,-4401.23045205876
20,65,-4435.7687274362
02,70,-4193.65338368558
04,70,-4202.68494908943
06,70,-4222.21894308904
08,70,-4248.41754716709
10,70,-4278.75964315888
12,70,-4311.52830864675
14,70,-4345.57914951017
16,70,-4380.16313766315
18,70,-4414.79407752299
20,70,-4449.15811049696
02,75,-4201.40854492285
04,75,-4212.94282627968
06,75,-4234.05515760579
08,75,-4261.20680532469
10,75,-4292.07928337307
12,75,-4325.09717317528
14,75,-4359.21193385624
16,75,-4393.73813435094
18,75,-4428.23165267665
20,75,-4462.40665596667
02,80,-4209.95318830023
04,80,-4223.67855362065
06,80,-4246.15556577267
08,80,-4274.11535037462
10,80,-4305.42098732505
12,80,-4338.62316587362
14,80,-4372.75860181345
16,80,-4407.19841303989
18,80,-4441.53589639356
20,80,-4475.51014748527
