sequence_name,country,adm1,lineage,sample_date,decimal_date,taxon_label,cluster
England/201141169/2020,UK,UK-ENG,A.5,2020-03-09,2020.18579234973,England/201141169/2020,A_DTA_MCC_1
England/20119037304/2020,UK,UK-ENG,A.5,2020-03-12,2020.19398907104,England/20119037304/2020,A_DTA_MCC_2
England/20126000104/2020,UK,UK-ENG,A.2,2020-03-17,2020.20765027322,England/20126000104/2020,A_DTA_MCC_3
England/20128000604/2020,UK,UK-ENG,A.2,2020-03-19,2020.2131147541,England/20128000604/2020,A_DTA_MCC_3
England/20129002004/2020,UK,UK-ENG,A.2,2020-03-20,2020.21584699454,England/20129002004/2020,A_DTA_MCC_3
England/20129164904/2020,UK,UK-ENG,A.2,2020-03-21,2020.21857923497,England/20129164904/2020,A_DTA_MCC_3
England/20134079704/2020,UK,UK-ENG,A.5,2020-03-24,2020.22677595628,England/20134079704/2020,A_DTA_MCC_4
England/20139018302/2020,UK,UK-ENG,A.2,2020-03-26,2020.23224043716,England/20139018302/2020,A_DTA_MCC_5
England/20139064904/2020,UK,UK-ENG,A.2,2020-03-29,2020.24043715847,England/20139064904/2020,A_DTA_MCC_6
England/20144003804/2020,UK,UK-ENG,A.2,2020-04-01,2020.24863387978,England/20144003804/2020,A_DTA_MCC_7
England/20144006004/2020,UK,UK-ENG,A.2,2020-03-31,2020.24590163934,England/20144006004/2020,A_DTA_MCC_8
England/20144011504/2020,UK,UK-ENG,A.1,2020-03-30,2020.24316939891,England/20144011504/2020,A_DTA_MCC_9
England/20144022904/2020,UK,UK-ENG,A.1,2020-03-30,2020.24316939891,England/20144022904/2020,A_DTA_MCC_10
England/20149051704/2020,UK,UK-ENG,A.1,2020-04-02,2020.25136612022,England/20149051704/2020,A_DTA_MCC_11
England/20150031504/2020,UK,UK-ENG,A.2,2020-04-03,2020.25409836066,England/20150031504/2020,A_DTA_MCC_12
England/20162037504/2020,UK,UK-ENG,A.2,2020-04-09,2020.27049180328,England/20162037504/2020,A_DTA_MCC_13
England/BIRM-5E73B/2020,UK,UK-ENG,A.1,2020-03-23,2020.22404371585,England/BIRM-5E73B/2020,A_DTA_MCC_14
England/BIRM-5FE53/2020,UK,UK-ENG,A,2020-05-20,2020.3825136612,England/BIRM-5FE53/2020,A_DTA_MCC_15
England/BRIS-1219B2/2020,UK,UK-ENG,A.2,2020-03-15,2020.20218579235,England/BRIS-1219B2/2020,A_DTA_MCC_16
England/BRIS-121F0B/2020,UK,UK-ENG,A.2,2020-03-13,2020.19672131148,England/BRIS-121F0B/2020,A_DTA_MCC_17
England/BRIS-12233B/2020,UK,UK-ENG,A.2,2020-03-23,2020.22404371585,England/BRIS-12233B/2020,A_DTA_MCC_13
England/BRIS-122B06/2020,UK,UK-ENG,A.2,2020-04-03,2020.25409836066,England/BRIS-122B06/2020,A_DTA_MCC_18
England/BRIS-1235BC/2020,UK,UK-ENG,A.2,2020-04-05,2020.25956284153,England/BRIS-1235BC/2020,A_DTA_MCC_16
England/BRIS-12390B/2020,UK,UK-ENG,A.2,2020-04-07,2020.2650273224,England/BRIS-12390B/2020,A_DTA_MCC_18
England/BRIS-12391A/2020,UK,UK-ENG,A.2,2020-04-07,2020.2650273224,England/BRIS-12391A/2020,A_DTA_MCC_18
England/BRIS-123929/2020,UK,UK-ENG,A.2,2020-04-07,2020.2650273224,England/BRIS-123929/2020,A_DTA_MCC_18
England/BRIS-1248FE/2020,UK,UK-ENG,A.2,2020-03-25,2020.22950819672,England/BRIS-1248FE/2020,A_DTA_MCC_19
England/BRIS-124DA4/2020,UK,UK-ENG,A.2,2020-03-26,2020.23224043716,England/BRIS-124DA4/2020,A_DTA_MCC_20
England/BRIS-124F53/2020,UK,UK-ENG,A.2,2020-03-26,2020.23224043716,England/BRIS-124F53/2020,A_DTA_MCC_16
England/BRIS-125268/2020,UK,UK-ENG,A.2,2020-03-26,2020.23224043716,England/BRIS-125268/2020,A_DTA_MCC_16
England/BRIS-125435/2020,UK,UK-ENG,A.2,2020-03-27,2020.2349726776,England/BRIS-125435/2020,A_DTA_MCC_19
England/BRIS-1259DC/2020,UK,UK-ENG,A.2,2020-03-30,2020.24316939891,England/BRIS-1259DC/2020,A_DTA_MCC_21
England/CAMB-1AE22B/2020,UK,UK-ENG,A.2,2020-04-27,2020.31967213115,England/CAMB-1AE22B/2020,A_DTA_MCC_22
England/CAMB-7233D/2020,UK,UK-ENG,A.2,2020-03-25,2020.22950819672,England/CAMB-7233D/2020,A_DTA_MCC_23
England/CAMB-72EE1/2020,UK,UK-ENG,A.1,2020-03-23,2020.22404371585,England/CAMB-72EE1/2020,A_DTA_MCC_24
