state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
4500	-443.90210624806537	-23.943351072869334	-419.958755175196	452.0	0.21812801008340255	0.21812801008340166	0.04479571436199668	0.47780860122007707	0.0	79.0	77.0	2.0	79.0
9000	-433.26780018733945	-27.310366243558338	-405.9574339437811	27.0	0.24492746820182984	0.24492746820183126	0.10290029006791628	0.5282455329566479	0.0	77.0	74.0	3.0	77.0
13500	-439.14077524035946	-25.492603544691473	-413.648171695668	313.0	0.22636580097938142	0.2263658009793816	0.07820943306780474	1.1351780219441339	0.0	76.0	73.0	3.0	76.0
18000	-456.20038509565273	-28.02167249786313	-428.1787125977896	128.0	0.22960857433630913	0.22960857433630988	0.056604891353195116	3.094859788402547	0.0	77.0	75.0	2.0	77.0
22500	-440.1229489898028	-33.68490581757331	-406.4380431722295	256.0	0.28918714941910906	0.2891871494191092	0.03086073121335499	0.2892195366549287	0.0	80.0	80.0	0.0	80.0
27000	-446.04369133486415	-32.19476790556018	-413.84892342930397	116.0	0.28895545027454855	0.2889554502745492	0.18941687385286876	1.0043693990621259	0.0	77.0	75.0	2.0	77.0
31500	-444.79276216806835	-28.42802057229197	-416.36474159577637	381.0	0.2463103119424628	0.24631031194246297	0.22840864844415346	1.2517271337346718	0.0	80.0	76.0	4.0	80.0
36000	-437.6758251240217	-27.599618414312545	-410.07620670970914	271.0	0.2196951488024525	0.21969514880245242	0.6344055980265201	3.7985633545915425	0.0	73.0	69.0	4.0	73.0
40500	-446.1418758870799	-20.05377162053246	-426.0881042665474	377.0	0.18433248138814767	0.18433248138814723	0.14746935772336223	0.77250347368495	0.0	77.0	72.0	5.0	77.0
45000	-423.284747557864	-27.951099753670757	-395.3336478041933	440.0	0.2436068671630922	0.24360686716309218	0.06032101429432873	0.5791321366839932	0.0	72.0	68.0	4.0	72.0
49500	-431.714723444452	-31.952745778948405	-399.7619776655036	218.0	0.25546313065033344	0.25546313065033416	0.9999687617495281	2.9307525538952324	0.0	75.0	67.0	8.0	75.0
54000	-442.39177824665416	-28.208957181904108	-414.18282106475004	298.0	0.24924470796807577	0.24924470796807494	0.17462341226499217	1.364992562742894	0.0	77.0	75.0	3.0	77.0
58500	-429.6834394122436	-26.834489012259507	-402.8489503999841	94.0	0.2362052249107897	0.23620522491079063	0.11301654975819246	0.6220221350455267	0.0	77.0	74.0	3.0	77.0
63000	-442.59609778901483	-37.372912883280975	-405.2231849057339	272.0	0.325164844201772	0.3251648442017698	0.17744585361419687	1.0003028433447574	0.0	74.0	70.0	4.0	76.0
67500	-446.6448240089606	-24.811145777275048	-421.83367823168555	33.0	0.22874605523577662	0.22874605523577662	0.07523147024980759	0.623025602594195	0.0	76.0	68.0	8.0	76.0
72000	-464.50084791887633	-26.364416024516878	-438.1364318943595	144.0	0.20549489232174123	0.20549489232174148	0.1798038769685756	4.031714646621197	0.0	77.0	74.0	3.0	77.0
76500	-452.4080840648524	-34.46604556840763	-417.94203849644475	119.0	0.2727778531430827	0.2727778531430839	0.8091526044174678	2.920498578798777	0.0	79.0	73.0	6.0	79.0
81000	-463.3694463725779	-34.26320941125702	-429.10623696132086	332.0	0.28316415148807594	0.28316415148807667	0.5906444614882811	2.2971889817906126	0.0	80.0	72.0	8.0	80.0
85500	-437.0835356228981	-31.28678283365229	-405.79675278924583	497.0	0.26927017873111275	0.2692701787311125	0.26561253647826627	1.3928212140125575	0.0	76.0	73.0	4.0	76.0
90000	-440.5565618184789	-28.96292740294098	-411.5936344155379	297.0	0.26755552970034396	0.26755552970034613	0.018899440975336346	0.35236331496877704	0.0	77.0	76.0	1.0	77.0
94500	-428.2603098249105	-24.479706370103738	-403.7806034548068	183.0	0.220540725444055	0.2205407254440555	0.2617522548358914	0.9231883551747055	0.0	73.0	69.0	4.0	73.0
99000	-436.15230901700306	-27.172587325147077	-408.979721691856	253.0	0.25043595648062367	0.25043595648062283	0.07622890279846936	0.9755923570789631	0.0	77.0	74.0	3.0	77.0
103500	-450.42247616829957	-29.36047810011822	-421.06199806818137	38.0	0.24166181519835256	0.2416618151983521	0.5196777170427797	2.910520143207298	0.0	81.0	79.0	2.0	81.0
108000	-429.9501240169793	-23.788477655911176	-406.16164636106816	243.0	0.2168028772524805	0.21680287725248093	0.009656038239633262	0.4425541977206322	0.0	75.0	74.0	1.0	75.0
112500	-462.73138974949825	-24.42216253719057	-438.3092272123077	387.0	0.21436751980666605	0.2143675198066658	0.13649194982282284	1.3083837121410549	0.0	79.0	73.0	6.0	79.0
117000	-467.47477812996334	-30.166684806478102	-437.30809332348525	177.0	0.27084721912705123	0.270847219127052	0.2076921002894579	0.899900048952411	0.0	79.0	72.0	8.0	79.0
121500	-438.5880378277858	-24.090064266454146	-414.49797356133166	357.0	0.21651604348147052	0.21651604348146908	0.019098052213150016	0.5537987905282559	0.0	77.0	76.0	1.0	77.0
126000	-454.2397060099901	-25.645080683887354	-428.59462532610274	157.0	0.20546309617944739	0.20546309617944727	0.3913181482710371	3.6800282049754376	0.0	80.0	76.0	2.0	78.0
130500	-446.2364286768464	-27.806857248161823	-418.4295714286846	182.0	0.2544205843375784	0.2544205843375803	0.15076408156849538	0.4229602055429479	0.0	75.0	72.0	3.0	77.0
135000	-450.6004414489497	-30.144774653958123	-420.4556667949916	321.0	0.268988710441462	0.26898871044146194	0.0451500296799907	1.1059243304367594	0.0	79.0	77.0	2.0	79.0
139500	-423.54019245908125	-33.48401472984234	-390.0561777292389	445.0	0.24948058950904398	0.24948058950904328	0.3747862407363796	5.784689722199895	0.0	74.0	72.0	2.0	74.0
