state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
4500	-3616.1237774613874	-387.55625958061796	-3228.5675178807696	269.0	1.1789412174411267	1.1789412174411245	1.1467733734643404	0.9564339825023699	0.0	814.0	352.0	453.0	798.0
9000	-3687.651609055667	-416.98505369498776	-3270.666555360679	122.0	1.2402606059317371	1.2402606059317427	0.679598406783321	0.7138407962600096	0.0	812.0	397.0	438.0	828.0
13500	-3595.8155759925776	-404.90792240232474	-3190.9076535902527	154.0	1.2167618207054114	1.216761820705405	1.9091381820163402	1.6314986330371222	0.0	810.0	349.0	452.0	810.0
18000	-3615.613916559764	-394.3521870372209	-3221.261729522543	409.0	1.2021222503150852	1.2021222503150786	0.7183371854587431	0.6236500291916566	0.0	803.0	339.0	474.0	811.0
22500	-3628.3050373587876	-419.5328785841816	-3208.772158774606	58.0	1.2676558553019204	1.2676558553019353	1.1514843932616865	1.0343668173362959	0.0	808.0	380.0	438.0	808.0
27000	-3662.073278608885	-422.1184849569104	-3239.954793651975	78.0	1.2654734549588251	1.2654734549588298	0.7551817133958091	0.6622411848918017	0.0	824.0	381.0	451.0	820.0
31500	-3582.7057945358674	-425.80463304339366	-3156.901161492474	145.0	1.2979842936084995	1.2979842936085042	1.1423539224187842	0.9831850786090756	0.0	825.0	369.0	450.0	813.0
36000	-3655.1822670524916	-462.8945618630724	-3192.2877051894193	54.0	1.392829922992431	1.3928299229924253	1.6645763196306231	1.7388479388279237	0.0	823.0	381.0	454.0	841.0
40500	-3593.5498420578037	-425.7217405630524	-3167.8281014947515	261.0	1.2725763531306091	1.2725763531306125	1.7386845719704969	1.6865735888880873	0.0	822.0	373.0	442.0	814.0
45000	-3641.2342183100204	-391.1946609290698	-3250.0395573809506	403.0	1.1566624706618602	1.1566624706618711	1.7967561044980096	1.8303719109412457	0.0	828.0	391.0	439.0	832.0
49500	-3661.0623919490654	-371.35436068864396	-3289.7080312604216	272.0	1.1108951767187314	1.1108951767187338	1.780138800682196	1.5199749036719399	0.0	821.0	348.0	469.0	811.0
54000	-3682.9765009676375	-435.06526629874224	-3247.9112346688953	363.0	1.3026757859874427	1.3026757859874465	1.560932270293687	1.4867936749986523	0.0	819.0	373.0	450.0	823.0
58500	-3654.3906012479583	-435.7524735109829	-3218.6381277369755	464.0	1.3004692925110481	1.3004692925110495	3.5367307690554903	2.6371936311929574	0.0	834.0	355.0	483.0	828.0
63000	-3564.3155491231014	-404.54057512957206	-3159.7749739935293	362.0	1.2081152798262882	1.2081152798262955	1.1417040475432196	1.1878278580728063	0.0	794.0	395.0	402.0	802.0
67500	-3665.5213778925227	-420.97567484302687	-3244.545703049496	495.0	1.279054911805127	1.2790549118051342	0.9448103104719919	0.8867287258430739	0.0	841.0	360.0	472.0	825.0
72000	-3696.87456387411	-386.6034178555879	-3310.2711460185224	396.0	1.189563138459801	1.189563138459815	0.9778358678723319	0.9149760786550455	0.0	823.0	383.0	452.0	819.0
76500	-3630.4163843023975	-428.6742251355995	-3201.742159166798	390.0	1.2735053362503428	1.2735053362503317	2.9733550335656003	3.012742415304662	0.0	819.0	381.0	452.0	827.0
81000	-3678.144544395396	-425.04621377032635	-3253.09833062507	206.0	1.3054870880204683	1.3054870880204554	0.5287076250033418	0.5571589737430029	0.0	827.0	391.0	446.0	831.0
85500	-3646.215503172996	-433.765368787364	-3212.450134385632	159.0	1.2979599210331154	1.2979599210331239	1.1894847326473406	1.0817108213416013	0.0	828.0	362.0	460.0	820.0
90000	-3656.5290111455747	-433.1273487355915	-3223.401662409983	199.0	1.3131295457345329	1.3131295457345373	0.8254601378929617	0.9265050345531469	0.0	822.0	368.0	455.0	842.0
94500	-3603.351207732684	-427.44830090668324	-3175.9029068260006	202.0	1.2763674958474993	1.2763674958475002	0.8065542248888028	0.965318175378525	0.0	825.0	394.0	425.0	811.0
99000	-3632.2466732945763	-412.7639828545263	-3219.48269044005	341.0	1.2402112752375383	1.2402112752375445	2.0062256352830934	2.0871643573092813	0.0	836.0	420.0	412.0	828.0
103500	-3682.3889904132966	-401.62179192730355	-3280.767198485993	405.0	1.2070086452525612	1.2070086452525568	0.6171745026936556	0.608950685975489	0.0	824.0	380.0	442.0	824.0
108000	-3715.2039657717014	-445.3171304546556	-3269.8868353170456	392.0	1.3539373640012633	1.3539373640012642	2.044842723545756	1.7938139502292916	0.0	839.0	369.0	462.0	821.0
112500	-3626.401299045082	-379.5248434029371	-3246.8764556421447	484.0	1.1594220566269071	1.1594220566269104	2.088036027651003	1.7674274720509038	0.0	807.0	345.0	450.0	803.0
117000	-3607.8102479887502	-415.30166046692887	-3192.5085875218215	138.0	1.2511764603085187	1.2511764603085065	1.6795096967678778	1.8531600555853107	0.0	823.0	374.0	451.0	819.0
121500	-3634.6783031670707	-422.69495577234693	-3211.9833473947238	137.0	1.2656127814936	1.2656127814936	1.481939958650806	1.5443831524531881	0.0	810.0	410.0	413.0	816.0
126000	-3710.780866395976	-409.0065004803442	-3301.7743659156317	334.0	1.2431027442194285	1.2431027442194298	0.7156395533543699	0.5443679624500662	0.0	815.0	370.0	450.0	813.0
130500	-3677.5745635732346	-420.7775830044698	-3256.796980568765	286.0	1.2576117976054393	1.2576117976054402	2.500373172150986	2.2421311446661067	0.0	825.0	366.0	451.0	819.0
135000	-3668.01061527299	-397.96763356824977	-3270.04298170474	343.0	1.212803717843369	1.2128037178433786	1.2271862911860665	1.1082268936083959	0.0	819.0	385.0	433.0	833.0
139500	-3588.0088928299538	-421.286393678064	-3166.7224991518897	228.0	1.2690924651085729	1.2690924651085687	1.318544911093801	1.3189702235196796	0.0	812.0	349.0	471.0	832.0
144000	-3634.415543763971	-357.79027845600444	-3276.6252653079664	490.0	1.0673056476078375	1.0673056476078338	1.6763263503922852	1.7899294248892268	0.0	798.0	378.0	419.0	800.0
148500	-3650.236399725502	-388.7678611281168	-3261.4685385973853	209.0	1.176798223047139	1.1767982230471297	0.8523175588051451	0.8200740662388741	0.0	833.0	353.0	473.0	825.0
153000	-3676.525605070729	-402.82380876311396	-3273.701796307615	124.0	1.2028879097997975	1.2028879097998024	1.8020255662682545	1.7920930264194561	0.0	816.0	390.0	422.0	810.0
157500	-3662.427529726437	-411.1718546331843	-3251.2556750932526	421.0	1.2224885360855946	1.2224885360855937	0.44601753621189677	0.6371775232183822	0.0	833.0	443.0	388.0	821.0
162000	-3674.9033689599305	-396.53665197472503	-3278.3667169852056	495.0	1.1824395806603418	1.1824395806603436	4.718545071274475	4.5403481201934515	0.0	834.0	362.0	468.0	830.0
166500	-3630.5131391767172	-415.7861477806756	-3214.7269913960417	58.0	1.2480474065136788	1.2480474065136875	2.5258786939874356	2.4108605871170496	0.0	824.0	368.0	444.0	812.0
171000	-3573.71742896918	-391.15773982801863	-3182.5596891411615	265.0	1.1725290510269473	1.1725290510269613	1.4053273201574277	1.540883367097004	0.0	801.0	371.0	430.0	801.0
175500	-3604.8621154008597	-439.1396885886975	-3165.722426812162	128.0	1.2949873657972606	1.2949873657972653	2.6398953501968148	3.0375815023677775	0.0	804.0	397.0	409.0	808.0
180000	-3653.1754054622943	-415.5572646125503	-3237.618140849744	126.0	1.2623711756050282	1.2623711756050175	0.6846429088730958	0.855010759922712	0.0	827.0	425.0	400.0	815.0
184500	-3608.885874151338	-394.407947282555	-3214.477926868783	292.0	1.168986944595623	1.1689869445956118	1.753235423934161	1.6184588752248394	0.0	810.0	369.0	438.0	808.0
189000	-3600.951390629107	-402.3658695301659	-3198.585521098941	251.0	1.220839277870814	1.2208392778708135	2.5308499685929764	2.611611979519876	0.0	810.0	360.0	443.0	808.0
193500	-3681.159747650104	-405.33041569534424	-3275.8293319547597	97.0	1.2202364160824775	1.2202364160824788	1.0242701276566701	0.9375893962173008	0.0	820.0	379.0	448.0	830.0
198000	-3722.852931694124	-410.2584327673878	-3312.5944989267364	426.0	1.2413276003683014	1.2413276003683056	0.7990494847095138	0.7131812683690344	0.0	849.0	398.0	446.0	837.0
202500	-3683.444884673367	-404.4806072450964	-3278.9642774282706	363.0	1.2133423070563394	1.2133423070563385	1.0824725517026113	1.1934110900366546	0.0	833.0	396.0	446.0	839.0
207000	-3566.5374127246987	-413.48992917194516	-3153.0474835527534	313.0	1.2305616232827408	1.230561623282745	1.167138134615494	1.2039939475499266	0.0	808.0	388.0	425.0	808.0
211500	-3680.355227129209	-380.89922728493707	-3299.4559998442724	375.0	1.1399780669371817	1.1399780669371764	2.3028228444199423	2.1912865057347273	0.0	815.0	373.0	453.0	827.0
216000	-3661.2507708725075	-420.5989592418484	-3240.6518116306593	35.0	1.2777928182583733	1.2777928182583718	0.5667745463492839	0.560025878142406	0.0	825.0	350.0	467.0	835.0
