state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
4500	-7386.199858751579	-1054.34748755517	-6331.852371196409	264.0	2.170156635219134	2.170156635219117	0.6137336982015716	1.7363618591548367	0.0	1826.0	1101.0	719.0	1838.0
9000	-7355.104194307753	-1080.4706685237936	-6274.633525783959	12.0	2.2174689846424007	2.217468984642402	0.8877241283110107	2.5359473486683566	0.0	1846.0	1163.0	688.0	1850.0
13500	-7303.357826137258	-1033.5632657594333	-6269.794560377824	373.0	2.14021165692634	2.1402116569263105	0.8754338302677859	2.572534548979211	0.0	1769.0	1067.0	709.0	1765.0
18000	-7201.761838557868	-1024.4899607932507	-6177.271877764618	11.0	2.1419033018100255	2.141903301810031	0.3717720406564604	1.0821031027287338	0.0	1781.0	1120.0	648.0	1775.0
22500	-7287.21946016981	-1111.5631229997311	-6175.656337170079	308.0	2.29208307334001	2.2920830733400033	0.8625305522202323	4.27341086410258	0.0	1846.0	1266.0	579.0	1844.0
27000	-7345.078329001239	-1033.5332650403395	-6311.545063960899	10.0	2.1206222131974846	2.1206222131974424	3.302030041471808	11.220818214981499	0.0	1834.0	1204.0	622.0	1816.0
31500	-7324.858614307585	-1027.9544587853409	-6296.904155522245	172.0	2.1228821616333815	2.122882161633373	1.0308494792070644	2.8414335466249625	0.0	1807.0	1109.0	694.0	1809.0
36000	-7231.106543714392	-933.6588653093063	-6297.447678405085	148.0	1.912024709875791	1.9120247098758048	0.3166826272637167	0.7311625798245939	0.0	1750.0	993.0	759.0	1738.0
40500	-7255.993709822212	-1062.244432795189	-6193.749277027023	9.0	2.206540048702823	2.206540048702852	0.10980580710898737	0.3460996112134225	0.0	1823.0	1162.0	654.0	1821.0
45000	-7294.337200441683	-1042.9883000564755	-6251.348900385207	354.0	2.1472391437487546	2.1472391437487346	0.9778462275614564	2.316932124771534	0.0	1819.0	1112.0	703.0	1809.0
49500	-7445.525261932835	-1045.467455798689	-6400.057806134146	290.0	2.1557292897736176	2.155729289773627	1.1940212654056463	2.56224880459357	0.0	1826.0	1049.0	764.0	1812.0
54000	-7380.234003467517	-1008.926184705213	-6371.307818762304	442.0	2.089073310657056	2.0890733106570436	1.2220058731302805	2.5820836917444603	0.0	1798.0	1026.0	763.0	1788.0
58500	-7312.781461699295	-1064.1338304205228	-6248.647631278772	343.0	2.1966778244749396	2.196677824474953	0.36899490859427647	1.089346256768127	0.0	1827.0	1187.0	657.0	1857.0
63000	-7318.143411740954	-1044.0370508779417	-6274.106360863013	366.0	2.179381598350786	2.1793815983507865	1.2100226582995783	2.7547324566420084	0.0	1766.0	992.0	793.0	1788.0
