state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
4500	-2454.9962925772224	-192.9645400053395	-2262.031752571883	246.0	0.549222081460345	0.5492220814603536	1.6861288351155805	3.80284830045653	0.0	480.0	390.0	90.0	478.0
9000	-2362.9746728298214	-206.78211380796242	-2156.192559021859	392.0	0.585269592597804	0.5852695925978022	1.4271795952878903	3.4523996131027075	0.0	477.0	412.0	60.0	469.0
13500	-2381.6415805642105	-182.94769490520204	-2198.6938856590086	270.0	0.523875870173737	0.5238758701737357	0.43741096001539054	1.136013380085764	0.0	455.0	377.0	78.0	455.0
18000	-2365.874934854797	-194.12850281331805	-2171.7464320414792	180.0	0.561915009316896	0.5619150093168908	0.5297711477998701	1.7832511128434132	0.0	471.0	393.0	72.0	465.0
22500	-2361.022862532575	-191.944315023298	-2169.078547509277	111.0	0.5459268980061941	0.5459268980061945	1.104052188992817	2.4787266357946147	0.0	462.0	381.0	83.0	464.0
27000	-2367.811391310367	-217.36057692516937	-2150.4508143851976	190.0	0.6219637745341478	0.6219637745341532	0.32989253754161457	0.7401985644703221	0.0	468.0	389.0	79.0	474.0
31500	-2387.6304667125996	-202.68058082654755	-2184.949885886052	335.0	0.5821447071457917	0.5821447071457951	0.653455301754922	1.1410988084567666	0.0	459.0	373.0	87.0	457.0
36000	-2436.555730039518	-202.99955565467684	-2233.556174384841	385.0	0.5790802083574803	0.579080208357476	0.5246198101231898	2.152585458824968	0.0	485.0	433.0	51.0	485.0
40500	-2355.063717067816	-197.5318422250333	-2157.5318748427826	265.0	0.5705612533018526	0.5705612533018524	0.5688037441413958	1.4037287793294426	0.0	477.0	408.0	63.0	469.0
45000	-2361.885486690121	-213.10310221252138	-2148.7823844776	76.0	0.6035204133041054	0.6035204133041041	0.5954286238665617	1.5407268377356351	0.0	466.0	391.0	75.0	466.0
49500	-2417.4111990319066	-204.37291469365152	-2213.038284338255	184.0	0.5900871426548264	0.5900871426548274	0.8540186349762717	2.2783809364855236	0.0	466.0	394.0	74.0	466.0
54000	-2403.737353859809	-220.13686741890734	-2183.6004864409015	488.0	0.6229876321268228	0.6229876321268135	0.6270011273085881	1.6727638744499924	0.0	483.0	409.0	70.0	481.0
58500	-2384.096031115838	-216.53697724462677	-2167.5590538712113	89.0	0.6218515536874685	0.6218515536874718	1.0755685367382677	3.0940373371090035	0.0	479.0	413.0	63.0	477.0
63000	-2372.275569926726	-206.27142141081004	-2166.004148515916	382.0	0.5821154244963677	0.5821154244963694	1.4799370709301725	3.7308352551711024	0.0	466.0	380.0	86.0	462.0
67500	-2364.5272480383337	-190.03460068323616	-2174.4926473550977	357.0	0.5445483008453182	0.5445483008453185	0.4404136079177196	1.24474140732358	0.0	464.0	392.0	76.0	468.0
72000	-2380.697391175008	-201.7458559658904	-2178.9515352091175	53.0	0.5803524059062989	0.5803524059062981	0.683540393428076	1.7078048234508492	0.0	474.0	402.0	68.0	472.0
76500	-2351.423552938244	-208.10620067008148	-2143.3173522681627	37.0	0.5932194863061508	0.5932194863061486	0.7754281603380646	2.2659203871731832	0.0	472.0	372.0	87.0	462.0
81000	-2384.392935573758	-204.1214828560738	-2180.2714527176845	220.0	0.5887815905765377	0.5887815905765413	0.6733105517919806	2.0098082074123464	0.0	476.0	405.0	64.0	470.0
85500	-2331.1080057055105	-200.2038518348592	-2130.9041538706515	425.0	0.5619693234368058	0.5619693234368075	1.361277524376955	4.364547045544115	0.0	458.0	398.0	58.0	456.0
90000	-2400.599306126497	-203.45434820115864	-2197.1449579253385	128.0	0.5801085146819721	0.58010851468197	0.19273208873489012	0.40895155375664555	0.0	473.0	391.0	80.0	471.0
94500	-2331.6877869798864	-192.45025345464433	-2139.2375335252423	271.0	0.5343180793575604	0.5343180793575611	1.952575155622672	6.160847748527464	0.0	461.0	398.0	65.0	463.0
99000	-2334.262290916874	-188.55630340249593	-2145.705987514378	465.0	0.5423246341281711	0.5423246341281752	0.0620439111315443	0.16626340119405067	0.0	464.0	393.0	69.0	474.0
103500	-2414.329450234503	-234.47848559587993	-2179.850964638623	58.0	0.663602136695749	0.6636021366957439	1.3010418532008994	2.8530248396359097	0.0	470.0	381.0	89.0	484.0
108000	-2416.7866749652303	-217.17254673253484	-2199.6141282326953	360.0	0.6216652015675356	0.621665201567539	1.2185975558470121	2.384568233772892	0.0	471.0	394.0	75.0	471.0
112500	-2386.351714756879	-184.85396328944043	-2201.497751467439	459.0	0.5322834450211404	0.5322834450211401	0.4013589018286543	1.523163434627592	0.0	469.0	404.0	63.0	465.0
117000	-2402.4713487507865	-208.2171413571383	-2194.2542073936484	480.0	0.5884403501269801	0.5884403501269868	1.0860463047643039	1.881434579865136	0.0	472.0	405.0	64.0	472.0
121500	-2373.9850554208747	-201.21244469842884	-2172.7726107224457	155.0	0.568121339369414	0.5681213393694201	1.0192907341324704	2.1014157138514946	0.0	465.0	398.0	73.0	467.0
126000	-2379.127554442753	-196.0217343383755	-2183.1058201043775	187.0	0.5703250482770654	0.5703250482770668	0.4923138494078998	1.1830910564488835	0.0	460.0	377.0	82.0	460.0
130500	-2384.303750883267	-206.60574831626184	-2177.6980025670055	179.0	0.5921886489161131	0.5921886489161119	0.3963012886884609	1.4414017330245155	0.0	478.0	431.0	51.0	482.0
135000	-2391.197047098961	-209.3502063644031	-2181.8468407345576	230.0	0.5981467744992812	0.5981467744992777	1.3219956561220738	2.5592043991246998	0.0	470.0	404.0	65.0	474.0
