Lineage,Number_of_sequences,Number_of_sequences_with_adm2,Number_adm2s,Earliest_sequence,Latest_sequence*,Days_between_earliest_and_latest_sequences*,Max_distance_between_sequences_km,Average_distance_between_sequences_km,Median_distance_between_sequences_km
B.1.1_DTA_MCC_47,1865,1681,81,03/03/2020,18/06/2020,107,837.3438815,199.6846399,190.3375218
B_DTA_MCC_1,1590,1291,60,09/02/2020,02/06/2020,114,885.0496036,176.094236,145.0574066
B_DTA_MCC_13,871,752,69,25/02/2020,27/05/2020,92,946.6762861,278.9443915,255.3962599
B.1.pruned_DTA_MCC_17,646,563,56,01/03/2020,16/06/2020,107,837.3438815,261.4560749,289.0108468
B.1.pruned_DTA_MCC_62,545,512,56,09/03/2020,15/06/2020,98,761.0734435,285.7683716,238.2645309
B.1.pruned_DTA_MCC_234,521,490,28,19/03/2020,03/06/2020,76,737.8175992,74.20262352,73.66094012
B_DTA_MCC_172,446,283,23,08/03/2020,27/05/2020,80,410.9909212,60.62999966,39.36951747
B.1.pruned_DTA_MCC_290,416,414,23,10/03/2020,02/06/2020,84,603.9054099,33.15107345,16.51394311
B.1.1_DTA_MCC_51,369,344,23,06/03/2020,12/06/2020,98,342.4498687,38.93178809,16.49556777
B.1.pruned_DTA_MCC_1,357,322,50,03/02/2020,10/06/2020,128,723.2280458,239.5727795,234.0811663
B.1.1_DTA_MCC_57,349,304,34,06/03/2020,04/06/2020,90,769.7305215,193.2559173,206.6274321
B_DTA_MCC_50,314,262,44,04/03/2020,28/05/2020,85,764.8052741,247.2619433,226.4411527
B.1.X_DTA_MCC_2,268,208,22,09/03/2020,15/05/2020,67,457.369786,103.0185242,60.46586511
B.1.1_DTA_MCC_316,267,255,19,24/03/2020,10/06/2020,78,289.0108468,59.09614902,0
B.1.X_DTA_MCC_3,260,201,25,09/03/2020,02/06/2020,85,641.78676,141.8742231,169.9088335
B.1.pruned_DTA_MCC_86,248,239,17,12/03/2020,09/06/2020,89,375.5836932,52.29485131,18.77495067
B.1.1_DTA_MCC_9,236,215,35,04/03/2020,16/06/2020,104,577.6687194,217.3423639,224.952733
B.1.1_DTA_MCC_40,233,200,35,06/03/2020,02/06/2020,88,762.7215957,273.2073695,219.7866455
B.1.1_DTA_MCC_102,222,173,44,11/03/2020,06/06/2020,87,754.6031273,220.1384658,213.0422396
B.1.1_DTA_MCC_24,217,189,32,03/03/2020,21/05/2020,79,577.836908,156.969813,100.1102133
B_DTA_MCC_29,206,165,27,28/02/2020,18/05/2020,80,572.6614346,136.763212,134.0812776
B_DTA_MCC_244,204,204,14,13/03/2020,26/05/2020,74,571.5384015,58.99033444,22.35358226
B.1.1_DTA_MCC_49,197,172,42,05/03/2020,12/06/2020,99,762.7215957,196.5000302,179.6978035
B.1.pruned_DTA_MCC_48,165,142,21,07/03/2020,06/06/2020,91,538.2778236,90.14863224,54.47073328
B.1.1_DTA_MCC_76,164,146,31,09/03/2020,06/06/2020,89,676.2415982,201.5708155,198.4315943
B.1.1_DTA_MCC_138,161,114,13,05/03/2020,15/05/2020,71,577.836908,141.6961593,150.7156384
