areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-08-30,14,290138
nation,England,E92000001,2020-08-29,862,290124
nation,England,E92000001,2020-08-28,1051,289262
nation,England,E92000001,2020-08-27,1034,288211
nation,England,E92000001,2020-08-26,1016,287177
nation,England,E92000001,2020-08-25,1035,286161
nation,England,E92000001,2020-08-24,1072,285126
nation,England,E92000001,2020-08-23,678,284054
nation,England,E92000001,2020-08-22,714,283376
nation,England,E92000001,2020-08-21,997,282662
nation,England,E92000001,2020-08-20,1220,281665
nation,England,E92000001,2020-08-19,1076,280445
nation,England,E92000001,2020-08-18,922,279369
nation,England,E92000001,2020-08-17,1136,278447
nation,England,E92000001,2020-08-16,526,277311
nation,England,E92000001,2020-08-15,648,276785
nation,England,E92000001,2020-08-14,1043,276137
nation,England,E92000001,2020-08-13,1016,275094
nation,England,E92000001,2020-08-12,1084,274078
nation,England,E92000001,2020-08-11,1208,272994
nation,England,E92000001,2020-08-10,1352,271786
nation,England,E92000001,2020-08-09,556,270434
nation,England,E92000001,2020-08-08,638,269878
nation,England,E92000001,2020-08-07,857,269240
nation,England,E92000001,2020-08-06,977,268383
nation,England,E92000001,2020-08-05,938,267406
nation,England,E92000001,2020-08-04,916,266468
nation,England,E92000001,2020-08-03,937,265552
nation,England,E92000001,2020-08-02,509,264615
nation,England,E92000001,2020-08-01,493,264106
nation,England,E92000001,2020-07-31,622,263613
nation,England,E92000001,2020-07-30,856,262991
nation,England,E92000001,2020-07-29,972,262135
nation,England,E92000001,2020-07-28,779,261163
nation,England,E92000001,2020-07-27,808,260384
nation,England,E92000001,2020-07-26,516,259576
nation,England,E92000001,2020-07-25,491,259060
nation,England,E92000001,2020-07-24,710,258569
nation,England,E92000001,2020-07-23,734,257859
nation,England,E92000001,2020-07-22,746,257125
nation,England,E92000001,2020-07-21,690,256379
nation,England,E92000001,2020-07-20,754,255689
nation,England,E92000001,2020-07-19,413,254935
nation,England,E92000001,2020-07-18,467,254522
nation,England,E92000001,2020-07-17,547,254055
nation,England,E92000001,2020-07-16,642,253508
nation,England,E92000001,2020-07-15,722,252866
nation,England,E92000001,2020-07-14,649,252144
nation,England,E92000001,2020-07-13,687,251495
nation,England,E92000001,2020-07-12,352,250808
nation,England,E92000001,2020-07-11,420,250456
nation,England,E92000001,2020-07-10,520,250036
nation,England,E92000001,2020-07-09,686,249516
nation,England,E92000001,2020-07-08,672,248830
