areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-08-27,1202,333512
overview,United Kingdom,K02000001,2020-08-26,1220,332310
overview,United Kingdom,K02000001,2020-08-25,1218,331090
overview,United Kingdom,K02000001,2020-08-24,1222,329872
overview,United Kingdom,K02000001,2020-08-23,807,328650
overview,United Kingdom,K02000001,2020-08-22,834,327843
overview,United Kingdom,K02000001,2020-08-21,1196,327009
overview,United Kingdom,K02000001,2020-08-20,1469,325813
overview,United Kingdom,K02000001,2020-08-19,1249,324344
overview,United Kingdom,K02000001,2020-08-18,1084,323095
overview,United Kingdom,K02000001,2020-08-17,1284,322011
overview,United Kingdom,K02000001,2020-08-16,599,320727
overview,United Kingdom,K02000001,2020-08-15,702,320128
overview,United Kingdom,K02000001,2020-08-14,1168,319426
overview,United Kingdom,K02000001,2020-08-13,1145,318258
overview,United Kingdom,K02000001,2020-08-12,1198,317113
overview,United Kingdom,K02000001,2020-08-11,1337,315915
overview,United Kingdom,K02000001,2020-08-10,1475,314578
overview,United Kingdom,K02000001,2020-08-09,615,313103
overview,United Kingdom,K02000001,2020-08-08,698,312488
overview,United Kingdom,K02000001,2020-08-07,936,311790
overview,United Kingdom,K02000001,2020-08-06,1082,310854
overview,United Kingdom,K02000001,2020-08-05,1057,309772
overview,United Kingdom,K02000001,2020-08-04,1018,308715
overview,United Kingdom,K02000001,2020-08-03,1038,307697
overview,United Kingdom,K02000001,2020-08-02,550,306659
overview,United Kingdom,K02000001,2020-08-01,542,306109
overview,United Kingdom,K02000001,2020-07-31,673,305567
overview,United Kingdom,K02000001,2020-07-30,922,304894
overview,United Kingdom,K02000001,2020-07-29,1038,303972
overview,United Kingdom,K02000001,2020-07-28,841,302934
overview,United Kingdom,K02000001,2020-07-27,857,302093
overview,United Kingdom,K02000001,2020-07-26,560,301236
overview,United Kingdom,K02000001,2020-07-25,522,300676
overview,United Kingdom,K02000001,2020-07-24,765,300154
overview,United Kingdom,K02000001,2020-07-23,800,299389
overview,United Kingdom,K02000001,2020-07-22,795,298589
overview,United Kingdom,K02000001,2020-07-21,782,297794
overview,United Kingdom,K02000001,2020-07-20,813,297012
overview,United Kingdom,K02000001,2020-07-19,443,296199
overview,United Kingdom,K02000001,2020-07-18,498,295756
overview,United Kingdom,K02000001,2020-07-17,581,295258
