country,population_2004,poverty_index,normalized_poverty_index,population_2_dollars,estimated_percentage_in_poverty,population_in_poverty
Afghanistan,28410980,22720812,79.97194043,,79.21,22504186
Albania,3433109,1048854,30.55114184,11.8,30.54,1048467
Algeria,31545580,6488516,20.56870091,15.1,20.71,6532824
American Samoa,52085,6103,11.71738504,,11.99,6246
Andorra,69962,2508,3.584803179,,3.98,2787
Angola,10645932,8116065,76.23630322,,75.53,8040938
Anguilla,12639,886,7.010048263,,7.36,930
Antigua and Barbuda,65157,4034,6.191199718,,6.55,4268
Argentina,38696260,6155672,15.90766653,23,16.12,6237439
Armenia,2997641,745416,24.86675356,31.1,24.94,747668
Aruba,67267,1401,2.082744882,,2.5,1684
Australia,19322928,2434531,12.59918269,,12.86,2485078
Austria,8129847,641930,7.895966554,,8.23,669009
Azerbaijan,7755703,2241748,28.90451065,2,28.92,2242815
The Bahamas,272594,28337,10.39531318,,10.69,29141
Bahrain,600058,10023,1.670338534,,2.1,12590
Bangladesh,140576752,74129376,52.73231523,82.8,52.38,73639563
Barbados,268632,9591,3.570311802,,3.97,10662
Belgium,10365412,365976,3.530742435,,3.93,407379
Belize,207691,85576,41.20351869,,41.03,85216
Benin,7293065,4880697,66.92243933,73.7,66.36,4839555
Bermuda,25489,763,2.993448154,,3.4,867
Bhutan,2089054,1743478,83.45777562,,82.64,1726443
Bolivia,8722603,3112077,35.67830612,42.2,35.59,3104296
Bosnia and Herzegovina,3992185,962210,24.10233995,,24.19,965673
Botswana,1646061,907605,55.13799306,50.1,54.75,901268
Brazil,178096304,47004832,26.39292952,21.2,26.44,47097313
British Virgin Islands,18734,1895,10.11529839,,10.41,1951
Brunei,289717,13669,4.718052444,,5.1,14774
Bulgaria,7496528,1123072,14.98122864,6.1,15.21,1139968
Burkina Faso,13545902,12137364,89.60174081,71.8,88.69,12014253
Burundi,6366676,5948226,93.42749655,87.6,92.46,5886660
Byelarus,10324346,3194345,30.93992588,2,30.92,3192571
Cambodia,13380562,11578787,86.53438473,77.7,85.67,11463417
Cameroon,16022772,11071732,69.09997846,50.6,68.5,10976041
Canada,32018318,2248726,7.023248379,,7.37,2359620
Cape Verde,362955,135551,37.34650301,,37.23,135135
Cayman Islands,26487,1601,6.044474648,,6.41,1697
Central African Republic,3722174,3005653,80.7499327,84,79.98,2976832
Chad,9567083,8219044,85.9096132,,85.06,8137463
Chile,15210395,2470981,16.24534406,9.6,16.45,2502340
China,1270484096,555786560,43.74604623,46.7,43.53,553095168
Cocos (Keeling) Islands,248,248,100,,98.93,245
Colombia,41348352,9982628,24.14274697,17.8,24.23,10018241
Comoros,588444,483929,82.23875169,,81.44,479240
Congo,3045933,1341775,44.05136292,,43.83,1335181
"Congo, DRC",57911408,45987808,79.41061975,,78.66,45551190
Cook Islands,14069,4731,33.62712346,,33.57,4723
Costa Rica,3873384,683451,17.64480361,7.5,17.83,690613
Cote d’Ivoire,16304796,9032927,55.40042942,48.8,55.01,8969504
Croatia,4346473,540639,12.43856801,2,12.7,552115
Cuba,11114198,3717823,33.45111361,,33.4,3711671
Cyprus,748246,46350,6.19448684,,6.55,49036
Czech Republic,10234140,740201,7.232664396,2,7.58,775321
Denmark,5262941,608894,11.56946278,,11.85,623485
Djibouti,188692,100749,53.39336061,,53.03,100073
Dominica,34830,16638,47.76916451,,47.5,16543
Dominican Republic,8696280,1460172,16.79076571,11,16.99,1477380
East Timor,1004007,877431,87.39291658,,86.52,868643
Ecuador,12734118,3378047,26.52753021,37.2,26.58,3384399
Egypt,75099408,2155994,2.870853523,43.9,3.28,2463498
El Salvador,6549989,1426553,21.77947169,40.6,21.9,1434547
Equatorial Guinea,422433,278467,65.91980267,,65.37,276148
Eritrea,4401247,3442824,78.22383066,,77.49,3410435
Estonia,1306149,321127,24.58578615,7.5,24.67,322164
Ethiopia,71440984,64750296,90.63466427,77.8,89.71,64089791
Falkland Islands (Islas Malvinas),3211,1201,37.40267829,,37.29,1197
Faroe Islands,38439,7114,18.50724525,,18.68,7180
Federated States of Micronesia,47068,18304,38.88841676,,38.75,18239
Fiji,695821,439979,63.23163572,,62.72,436444
Finland,4695602,444147,9.45878718,,9.77,458672
France,59536588,5912627,9.931081371,,10.23,6092515
French Guiana,165852,39053,23.54689723,,23.64,39211
French Polynesia,188965,32107,16.99097717,,17.19,32475
Gabon,1298722,497500,38.30688939,,38.18,495823
"Gambia, The",1530432,943096,61.62286204,82.9,61.14,935695
Gaza Strip,1215324,25997,2.139100355,,2.56,31108
Georgia,4607018,1882474,40.86100814,25.3,40.69,1874735
Germany,82400920,6623378,8.037990353,,8.37,6896061
Ghana,20757632,11722743,56.4743753,78.5,56.07,11638610
Gibraltar,2134,40,1.874414246,,2.3,49
Greece,10108853,911099,9.012882075,,9.33,943054
Greenland,22203,5465,24.61379093,,24.69,5483
Grenada,80374,11890,14.79334113,,15.02,12073
