Date,Total air arrivals,"of which:
British nationals","
% British nationals",,origin,Spain,United States,Italy,Germany,France,China,Switzerland,Netherlands,Portugal,Ireland,Austria,Turkey,Poland,Canada,Belgium,Norway,Australia,Sweden,Denmark,Romania,Czech Republic,India,Israel,Korea (South),Iran,Brazil,Greece,Japan,Philippines,,origin,Spain,United States,Italy,Germany,France,China,Switzerland,Netherlands,Portugal,Ireland,Austria,Turkey,Poland,Canada,Belgium,Norway,Australia,Sweden,Denmark,Romania,Czech Republic,India,Israel,Korea (South),Iran,Brazil,Greece,Japan,Philippines,,origin,France+Extras,Netherlands+Extras,Ireland+Extras,Belgium+Extras,,France ferry&Rail,Netherlands ferry&Rail,Ireland ferry&Rail,Belgium ferry&rail,,global,global+Extras
01-Jan-20," 238,100 "," 95,700 ",40.1931961361,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,01-Jan-20,#DIV/0!,15686.7915967149,13848.905235501,12731.1506954723,11050.0440316803,4557.0632050606,10526.1665106316,9588.2691280734,5810.1820709979,13353.2192930714,3543.1252720097,2336.0015099645,10352.9257440616,2073.4554478599,1225.9820742734,3123.8954022066,3327.5332110291,2527.2375812539,3241.5840558064,4391.7493222746,2497.2560611353,5699.397477468,1408.9396661271,855.2404411652,175.9576420606,1014.7050508365,1964.4288325886,1001.632085241,685.1001089784,,01-Jan-20,35736.1730639383,11159.2368700089,15901.6063898456,5080.3046549186,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 238,100 "," 270,760 "
02-Jan-20," 290,900 "," 133,400 ",45.8576830526,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,02-Jan-20,37832.5556819527,19165.4249285358,16919.9770390897,15554.35420963,13500.4527879705,5567.6173303324,12860.4025113093,11714.5211648742,7098.6222782582,16314.3699804891,4328.8330181757,2854.0228443875,12648.7446406867,2533.2557319717,1497.8504216973,3816.6365917761,4065.4322179268,3087.6665786928,3960.423359236,5365.6441740852,3051.0364896441,6963.2705846092,1721.3798776832,1044.8947683115,214.9772283722,1239.7215425801,2400.0518580429,1223.7495741143,837.0248706502,,02-Jan-20,38186.5818202286,13285.4889068097,18862.7570772633,5352.1730023425,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 290,900 "," 323,560 "
03-Jan-20," 300,500 "," 137,600 ",45.7903494176,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,03-Jan-20,39081.0690354995,19797.9037161396,17478.3537306512,16067.6639394768,13945.9816527506,5751.3544440182,13284.8090568871,12101.1124442925,7332.8841341237,16852.7610145651,4471.6889720241,2948.2085415553,13066.1662582549,2616.8557836283,1547.2810303198,3942.5895353342,4199.5956737263,3189.5627600453,4091.121414405,5542.7159653234,3151.7238402821,7193.0656949985,1778.1871888752,1079.3773732472,222.0716986107,1280.6336319881,2479.2560444892,1264.1345720913,864.6475545906,,03-Jan-20,38632.1106850087,13672.080186228,19401.1481113393,5401.603610965,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 300,500 "," 333,160 "
04-Jan-20," 293,000 "," 153,400 ",52.3549488055,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,04-Jan-20,38105.6679780411,19303.7796633241,17042.1219403688,15666.640713034,13597.9122271412,5607.8098239511,12953.2414431544,11799.088007247,7149.8670592288,16432.1430191932,4360.08275808,2874.6259656429,12740.0556195298,2551.5432432716,1508.6633673335,3844.1887981795,4094.7804738829,3109.9563683637,3989.0135588042,5404.3786284185,3073.0618475962,7013.5382650068,1733.8064770065,1052.4378381412,216.5291437369,1248.6710621381,2417.3777738281,1232.5837924218,843.0673327622,,04-Jan-20,38284.0412593992,13370.0557491825,18980.5301159674,5362.9859479787,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 293,000 "," 325,660 "
05-Jan-20," 315,900 "," 142,300 ",45.0459006015,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,05-Jan-20,41083.8925401474,20812.5051045873,18374.0830066979,16891.0982977728,14660.6842066686,6046.0993972224,13965.627890418,12721.2692883594,7708.6791945747,17716.4299650619,4700.8537313225,3099.2980974287,13735.7801031039,2750.9641998276,1626.5759649852,4144.6390489587,4414.8162174048,3353.0212176317,4300.7828779053,5826.7686304349,3313.2431319305,7561.695351248,1869.3155839124,1134.6932186648,233.4524112849,1346.26344208,2606.3127602467,1328.9188396793,908.9589434115,,05-Jan-20,39346.8132389267,14292.2370302949,20264.8170618361,5480.8985456303,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 315,900 "," 348,560 "
06-Jan-20," 275,600 "," 104,600 ",37.9535558781,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,06-Jan-20,35842.7375247376,18157.4118607922,16030.0641869134,14736.2668276866,12790.3911597273,5274.7863053957,12184.0045792947,11098.3913133012,6725.2674454725,15456.3092699306,4101.1563417299,2703.9143895263,11983.4789376874,2400.0181496438,1419.0703892052,3615.8990879804,3851.6092102462,2925.2695396622,3752.1233338104,5083.4360067991,2890.5660245649,6597.0346274262,1630.8432254709,989.9381166952,203.6704164296,1174.5179000862,2273.8201858942,1159.3859835885,793.0012181203,,06-Jan-20,37476.5201919854,12669.3590552367,18004.6963667048,5273.3929698503,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 275,600 "," 308,260 "
07-Jan-20," 229,700 "," 79,200 ",34.4797562037,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,07-Jan-20,29873.2830530923,15133.3726575616,13360.3256303847,12282.0046818563,10660.2062749977,4396.2932305856,10154.8107832511,9250.0017585824,5605.2029471155,12882.1271382549,3418.1263123924,2253.5890249426,9987.6818286894,2000.3054026603,1182.7302917287,3013.6865765933,3210.1401872045,2438.0784225704,3127.2232575335,4236.8115049411,2409.1546293271,5498.3267558774,1359.2332688341,825.0681618465,169.7499806019,978.9069726045,1895.1251694481,966.2952120112,660.9302605306,,07-Jan-20,35346.3353072558,10820.9695005178,15430.5142350291,5037.0528723738,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 229,700 "," 262,360 "
08-Jan-20," 203,200 "," 68,300 ",33.6122047244,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,08-Jan-20,26426.865983406,13387.467670947,11818.9733047199,10865.0559484249,9430.3609711778,3889.1022396822,8983.2718813958,8182.848747688,4958.5426158201,11395.9435546077,3023.7843564569,1993.5972567189,8835.4242385271,1769.534426733,1046.2812158436,2666.0039719798,2839.7931477577,2156.8025052952,2766.4421677441,3748.0195812104,2131.2155885036,4863.9965032402,1202.4214202311,729.881804472,150.1662867144,865.9725591347,1676.4886131122,854.8157905123,584.6801434037,,08-Jan-20,34116.4900034358,9753.8164896235,13944.3306513819,4900.6037964887,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 203,200 "," 235,860 "
09-Jan-20," 221,500 "," 76,100 ",34.3566591422,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,09-Jan-20,28806.8445636044,14593.1303598167,12883.3788730091,11843.5526209455,10279.6503696648,4239.3511126457,9792.2968589034,8919.7883740792,5405.1042785637,12422.251463315,3296.1035184803,2173.1387419451,9631.1341970165,1928.8970252036,1140.5083135303,2906.1017706374,3095.5422353757,2351.0421009985,3015.58533541,4085.5626832584,2323.1508506572,5302.0434324198,1310.7103571909,795.6142701306,163.6901206065,943.9612295686,1827.4715935253,931.7996929059,637.3358846649,,09-Jan-20,34965.7794019228,10490.7561160147,14970.6385600892,4994.8308941754,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 221,500 "," 254,160 "
10-Jan-20," 251,200 "," 83,200 ",33.1210191083,,Jan_%_volume,13.0053474328,6.5883207042,5.8164238704,5.3469763526,4.6409256748,1.9139282676,4.4209015164,4.0269924939,2.4402276653,5.6082399383,1.4880828526,0.9811010122,4.3481418497,0.8708338714,0.5149021732,1.3120098287,1.3975359979,1.0614185558,1.3614380747,1.8444978254,1.0488265691,2.3936990666,0.5917428249,0.3591938014,0.0739007317,0.426167598,0.8250436088,0.4206770623,0.287736291,,10-Jan-20,32669.4327511397,16549.8616089659,14610.8567625278,13431.6045976592,11658.005295078,4807.787808111,11105.3046092846,10115.8051447797,6129.8518951477,14087.8987249875,3738.0641256986,2464.5257425581,10922.5323263682,2187.5346850164,1293.4342589562,3295.7686897702,3510.6104267556,2666.2834120579,3419.9324435891,4633.3785374018,2634.6523416934,6012.9720551867,1486.4579761912,902.2948291504,185.6386379068,1070.5330061744,2072.5095453434,1056.7407803971,722.7935631053,,10-Jan-20,36344.1343273361,11686.7728867151,16636.2858217617,5147.7568396014,,24686.1290322581,1570.9677419355,2548.3870967742,3854.3225806452,," 251,200 "," 283,860 "
