Original_epi_data_name	Converted_adm2_name
NEWCASTLE UPON TYNE	TYNE AND WEAR
NORTH TYNESIDE	TYNE AND WEAR
SOUTH TYNESIDE	TYNE AND WEAR
SUNDERLAND	TYNE AND WEAR
GATESHEAD	TYNE AND WEAR
SHEFFIELD	SOUTH YORKSHIRE
ROTHERHAM	SOUTH YORKSHIRE
DONCASTER	SOUTH YORKSHIRE
BARNSLEY	SOUTH YORKSHIRE
CONWY	CLWYD
FLINTSHIRE	CLWYD
WREXHAM	CLWYD
DENBIGHSHIRE	CLWYD
BRADFORD	WEST YORKSHIRE
CALDERDALE	WEST YORKSHIRE
KIRKLEES	WEST YORKSHIRE
LEEDS	WEST YORKSHIRE
WAKEFIELD	WEST YORKSHIRE
EAST SUSSEX	SUSSEX
WEST SUSSEX	SUSSEX
BRIGHTON AND HOVE	SUSSEX
KNOWSLEY	MERSEYSIDE
LIVERPOOL	MERSEYSIDE
SEFTON	MERSEYSIDE
WIRRAL	MERSEYSIDE
ST. HELENS	MERSEYSIDE
CHESHIRE WEST AND CHESTER	CHESHIRE
CHESHIRE EAST	CHESHIRE
HALTON	CHESHIRE
WARRINGTON	CHESHIRE
BRACKNELL FOREST	BERKSHIRE
READING	BERKSHIRE
SLOUGH	BERKSHIRE
WEST BERKSHIRE	BERKSHIRE
WINDSOR AND MAIDENHEAD	BERKSHIRE
WOKINGHAM	BERKSHIRE
BURY	GREATER MANCHESTER
BOLTON	GREATER MANCHESTER
MANCHESTER	GREATER MANCHESTER
OLDHAM	GREATER MANCHESTER
ROCHDALE	GREATER MANCHESTER
SALFORD	GREATER MANCHESTER
STOCKPORT	GREATER MANCHESTER
TAMESIDE	GREATER MANCHESTER
TRAFFORD	GREATER MANCHESTER
WIGAN	GREATER MANCHESTER
BEDFORD	BEDFORDSHIRE
CENTRAL BEDFORDSHIRE	BEDFORDSHIRE
LUTON	BEDFORDSHIRE
WESTMINSTER	LONDON
WANDSWORTH	LONDON
WALTHAM FOREST	LONDON
TOWER HAMLETS	LONDON
SUTTON	LONDON
SOUTHWARK	LONDON
RICHMOND UPON THAMES	LONDON
REDBRIDGE	LONDON
NEWHAM	LONDON
MERTON	LONDON
LEWISHAM	LONDON
LAMBETH	LONDON
KINGSTON UPON THAMES	LONDON
KENSINGTON AND CHELSEA	LONDON
ISLINGTON	LONDON
HOUNSLOW	LONDON
HILLINGDON	LONDON
HAVERING	LONDON
HARROW	LONDON
HARINGEY	LONDON
HAMMERSMITH AND FULHAM	LONDON
HACKNEY AND CITY OF LONDON	LONDON
GREENWICH	LONDON
ENFIELD	LONDON
EALING	LONDON
CROYDON	LONDON
CAMDEN	LONDON
BROMLEY	LONDON
BRENT	LONDON
BEXLEY	LONDON
BARNET	LONDON
BARKING AND DAGENHAM	LONDON
WOLVERHAMPTON	WEST MIDLANDS
WALSALL	WEST MIDLANDS
SOLIHULL	WEST MIDLANDS
SANDWELL	WEST MIDLANDS
DUDLEY	WEST MIDLANDS
COVENTRY	WEST MIDLANDS
BIRMINGHAM	WEST MIDLANDS
BOURNEMOUTH, CHRISTCHURCH AND POOLE	DORSET
SOUTHAMPTON	HAMPSHIRE
PORTSMOUTH	HAMPSHIRE
MILTON KEYNES	BUCKINGHAMSHIRE
MEDWAY	KENT
THURROCK	ESSEX
SOUTHEND-ON-SEA	ESSEX
PETERBOROUGH	CAMBRIDGESHIRE
SWINDON	WILTSHIRE
TORBAY	DEVON
SOUTH GLOUCESTERSHIRE	GLOUCESTERSHIRE
NORTH SOMERSET	SOMERSET
BATH AND NORTH EAST SOMERSET	SOMERSET
TELFORD AND WREKIN	SHROPSHIRE
RUTLAND	LEICESTERSHIRE
LEICESTER	LEICESTERSHIRE
DERBY	DERBYSHIRE
YORK	NORTH YORKSHIRE
NORTH LINCOLNSHIRE	LINCOLNSHIRE
NORTH EAST LINCOLNSHIRE	LINCOLNSHIRE
KINGSTON UPON HULL, CITY OF	EAST RIDING OF YORKSHIRE
BLACKPOOL	LANCASHIRE
BLACKBURN WITH DARWEN	LANCASHIRE
DARLINGTON	COUNTY DURHAM
STOCKTON-ON-TEES	COUNTY DURHAM
REDCAR AND CLEVELAND	NORTH YORKSHIRE
MIDDLESBROUGH	NORTH YORKSHIRE
HARTLEPOOL	COUNTY DURHAM
