Original_adm2_name	Converted_adm2_name
EDINBURGH	LOTHIAN
DURHAM	COUNTY DURHAM
ANGLESEY	ISLE OF ANGLESEY
RHONDDA, CYNON, TAFF	RHONDDA CYNON TAF
WEST LOTHIAN	LOTHIAN
MIDLOTHIAN	LOTHIAN
MORAY	GRAMPIAN
GREATER LONDON	LONDON
INVERCLYDE	GREATER GLASGOW AND CLYDE
EAST DUNBARTONSHIRE	GREATER GLASGOW AND CLYDE
GLASGOW	GREATER GLASGOW AND CLYDE
SOUTH LANARKSHIRE	LANARKSHIRE
NORTH LANARKSHIRE	LANARKSHIRE
WEST DUNBARTONSHIRE	GREATER GLASGOW AND CLYDE
RENFREWSHIRE	GREATER GLASGOW AND CLYDE
NORTH AYRSHIRE	AYRSHIRE AND ARRAN
EAST AYRSHIRE	AYRSHIRE AND ARRAN
EAST RENFREWSHIRE	GREATER GLASGOW AND CLYDE
STIRLING	FORTH VALLEY
HEREFORDSHIRE	HEREFORDSHIRE, COUNTY OF
EAST LOTHIAN	LOTHIAN
DUNDEE	TAYSIDE
ANGUS	TAYSIDE
PERTHSHIRE AND KINROSS	TAYSIDE
ARGYLL AND BUTE	HIGHLAND
SCOTTISH BORDERS	BORDERS
SOUTH AYRSHIRE	AYRSHIRE AND ARRAN
ABERDEEN	GRAMPIAN
ABERDEENSHIRE	GRAMPIAN
CLACKMANNANSHIRE	FORTH VALLEY
FALKIRK	FORTH VALLEY
CORNWALL	CORNWALL AND ISLES OF SCILLY
EILEAN SIAR	WESTERN ISLES
BRISTOL	BRISTOL, CITY OF
ORKNEY ISLANDS	ORKNEY
SHETLAND ISLANDS	SHETLAND
